ROI_001,ROI_002,ROI_003,ROI_004,ROI_005,ROI_006,ROI_007,ROI_008,ROI_009,ROI_010,ROI_011,ROI_012,ROI_013,ROI_014,ROI_015,ROI_016,ROI_017,ROI_018,ROI_019,ROI_020,ROI_021,ROI_022,ROI_023,ROI_024,ROI_025,ROI_026,ROI_027,ROI_028,ROI_029,ROI_030,ROI_031,ROI_032,ROI_033,ROI_034,ROI_035,ROI_036,ROI_037,ROI_038,ROI_039,ROI_040,ROI_041,ROI_042,ROI_043,ROI_044,ROI_045,ROI_046,ROI_047,ROI_048,ROI_049,ROI_050,ROI_051,ROI_052,ROI_053,ROI_054,ROI_055,ROI_056,ROI_057,ROI_058,ROI_059,ROI_060,ROI_061,ROI_062,ROI_063,ROI_064,ROI_065,ROI_066,ROI_067
3263.787,3347.2688,1227.4703,3282.3276,3855.801,2718.1272,3297.6777,1964.1843,2991.0103,3586.4988,3551.5388,3622.528,3543.1492,3211.003,2904.8242,3855.834,3627.6511,3535.6433,2755.008,3483.7554,3571.8123,2931.0322,3384.1843,3486.4453,3078.3152,2984.6672,3063.4207,4113.9507,4045.3203,3653.5366,3408.9001,3649.7239,4097.8267,3741.6628,3607.182,1804.8452,3601.7498,3614.3047,3358.3477,3393.7676,3783.7212,2009.2327,2919.5535,2875.2512,3193.9226,3449.181,3488.5583,3788.3718,2545.6157,3749.59,3417.7168,3381.4731,2528.155,3148.01,3314.4282,3074.7856,3095.8025,3380.9084,1204.9388,2815.4028,2842.3286,1999.1519,2955.88,3127.199,2114.7393,2248.3608,2611.852
3263.7456,3347.287,1201.8303,3281.7463,3857.8538,2708.0046,3296.5002,1979.9214,2989.1895,3593.628,3555.189,3623.3164,3543.66,3210.9246,2907.9956,3856.067,3626.657,3536.4873,2732.991,3482.1748,3570.0593,2949.342,3373.3909,3503.9631,3088.8958,2982.6096,3061.5493,4117.9526,4045.4026,3649.7793,3404.5366,3642.6265,4103.8223,3738.3345,3610.8635,1815.806,3593.994,3611.2507,3369.8845,3388.083,3779.7317,2006.2983,2916.382,2888.2488,3193.7742,3452.4875,3492.0232,3798.6946,2552.5474,3755.7327,3419.9707,3395.6526,2518.6438,3151.0994,3314.183,3103.8916,3087.454,3384.0557,1198.0948,2815.5464,2844.208,1966.0627,2956.4224,3127.9807,2104.5967,2242.2834,2611.8318
3258.3687,3337.96,1196.0791,3275.749,3860.7375,2725.7234,3293.6108,1977.8118,2987.4026,3584.0835,3552.0754,3622.6104,3548.9475,3215.855,2915.9666,3858.923,3632.2827,3536.8494,2755.4863,3484.4666,3571.7605,2944.7517,3379.726,3487.4592,3075.7148,2979.6572,3060.9104,4115.1924,4046.8206,3652.048,3408.3555,3623.016,4097.472,3740.3406,3604.5923,1817.7775,3590.114,3611.336,3366.7478,3387.5588,3775.6182,2020.6506,2915.267,2885.796,3197.6868,3448.0518,3491.6152,3796.8105,2554.8088,3751.1914,3416.211,3394.7764,2530.3154,3147.312,3310.917,3106.7825,3084.375,3370.873,1210.7354,2813.7947,2832.7754,1983.8317,2949.5017,3125.9236,2115.4229,2245.648,2617.021
3249.3206,3324.3167,1161.809,3271.2825,3865.817,2713.5315,3292.755,1975.4446,2983.6562,3574.6682,3534.188,3621.905,3549.3396,3207.9656,2909.4165,3862.9321,3632.1523,3533.2158,2744.5928,3487.6428,3578.8398,2945.7686,3377.401,3503.0256,3055.464,2975.2034,3057.9211,4105.4175,4044.4026,3651.5408,3403.5564,3632.7224,4094.0835,3738.407,3604.0723,1837.7122,3591.0918,3615.382,3363.3079,3368.2212,3779.2961,2017.184,2917.9397,2890.133,3204.101,3448.2852,3492.039,3796.1772,2558.225,3745.2378,3413.8823,3396.5754,2540.26,3140.2722,3312.9526,3091.0813,3076.911,3377.4666,1215.034,2825.316,2835.9495,1975.9647,2947.8667,3128.7114,2088.8464,2240.8628,2616.3313
3252.218,3326.5586,1225.1161,3282.7036,3870.9136,2737.8953,3311.579,1978.5154,2994.1792,3580.6123,3546.6812,3628.4272,3556.619,3216.0002,2908.056,3862.1929,3631.3315,3540.0828,2739.697,3491.7747,3583.705,2945.4075,3387.754,3498.435,3071.5537,2974.5962,3062.9854,4124.1714,4055.6155,3655.0366,3410.3706,3653.2424,4100.9854,3746.0632,3615.856,1844.2379,3602.8333,3620.5984,3353.5786,3388.391,3776.083,2015.3519,2915.4243,2903.1904,3201.1357,3450.5608,3496.1284,3803.2148,2554.9753,3758.079,3422.8079,3400.8574,2532.599,3152.3926,3315.3062,3080.5356,3086.798,3354.6157,1207.4832,2822.798,2831.769,1982.1715,2958.2039,3134.6077,2083.048,2240.3313,2600.2153
3250.5967,3322.5105,1260.6158,3277.3635,3873.9124,2740.5168,3303.2703,2006.6638,2995.638,3591.5366,3550.0205,3626.923,3545.71,3219.005,2917.0908,3860.344,3632.4004,3540.642,2755.0256,3490.945,3575.3875,2944.3599,3395.2312,3478.07,3088.629,2978.8662,3067.0715,4139.707,4060.3203,3652.3948,3414.9387,3667.1638,4111.2983,3751.1274,3618.2258,1834.2123,3609.2935,3613.7095,3361.1218,3395.8828,3768.5073,2018.7881,2921.1475,2914.4329,3205.1157,3460.9136,3498.2634,3801.0068,2559.6106,3766.9883,3429.95,3403.6729,2540.5876,3161.0718,3316.96,3101.1208,3093.46,3344.223,1209.6031,2821.8794,2836.216,1993.0914,2963.8303,3137.4172,2089.4905,2250.6377,2602.8276
3237.5068,3315.062,1242.6888,3273.8037,3876.459,2717.0662,3296.4163,2002.2507,2999.6018,3596.4453,3559.4028,3629.0212,3547.041,3226.12,2925.071,3868.1914,3635.5928,3543.6592,2743.8535,3492.8215,3575.0454,2934.9731,3386.122,3476.3699,3101.4014,2981.6555,3067.8103,4137.7383,4062.0342,3655.025,3420.3381,3681.9434,4118.9243,3754.2278,3616.3804,1804.4875,3598.261,3613.855,3346.7588,3388.5054,3761.9233,1997.926,2923.8381,2902.672,3203.1138,3462.544,3502.6204,3807.8792,2564.6929,3763.0183,3428.226,3403.1306,2557.5425,3161.8994,3317.5623,3081.112,3094.1287,3362.48,1202.7817,2827.499,2838.029,1995.4319,2961.2578,3145.4336,2084.5867,2258.1436,2620.9067
3239.4302,3324.5,1170.4176,3273.6294,3884.0767,2707.1575,3277.9714,1986.2738,2996.2676,3590.658,3557.325,3630.1255,3552.2236,3235.9355,2927.84,3871.5322,3646.0618,3555.018,2756.6448,3493.2664,3580.694,2971.9067,3387.192,3487.0051,3083.5334,2978.2095,3065.9124,4131.41,4062.0266,3657.8784,3426.1663,3642.456,4111.27,3758.0098,3618.3916,1868.7162,3595.7678,3617.5103,3371.0657,3388.52,3762.5745,1998.272,2918.9824,2911.8372,3199.135,3457.7622,3499.8433,3815.9902,2569.4067,3758.9763,3423.3567,3420.3086,2546.5786,3153.591,3319.5278,3144.4321,3093.0183,3374.632,1205.5316,2828.545,2847.1208,2001.863,2956.0427,3143.5537,2105.278,2264.7124,2630.8127
3254.4563,3344.907,1182.2949,3289.4463,3892.7905,2704.611,3282.3408,1988.0137,3000.9048,3602.3147,3567.6733,3640.3425,3567.7205,3253.8271,2915.9753,3878.6907,3649.3413,3566.6724,2759.1145,3495.895,3580.313,2945.2952,3385.7236,3494.5232,3078.9204,2987.802,3067.776,4134.086,4073.196,3671.9624,3441.8457,3622.8728,4114.447,3760.68,3628.2905,1840.4197,3605.976,3622.6362,3354.3962,3386.597,3765.393,1983.0876,2928.9634,2902.8481,3197.3938,3460.0088,3503.9443,3837.445,2550.4956,3754.1265,3421.3572,3413.96,2527.8098,3150.9092,3320.6008,3121.2158,3097.856,3387.4885,1217.4995,2836.1208,2852.544,1988.1335,2955.5935,3145.986,2118.9895,2272.3496,2634.9126
3245.0356,3332.0474,1168.9363,3284.5713,3888.4465,2724.4268,3283.4084,1963.6371,3001.3455,3601.0159,3554.5984,3632.69,3560.3523,3250.8865,2913.2417,3872.1392,3642.5564,3555.1912,2747.1277,3489.6685,3577.7065,2934.238,3389.4624,3489.0215,3071.778,2983.8425,3064.3582,4127.098,4063.5437,3665.6792,3436.265,3644.7678,4106.831,3753.0464,3629.1003,1846.1213,3605.7483,3618.7078,3361.9783,3388.7568,3769.5715,1995.4747,2925.1787,2890.2332,3193.5884,3456.4797,3500.1106,3829.024,2552.4448,3754.1711,3422.8933,3414.3054,2524.7942,3151.0266,3319.3655,3112.7227,3100.1726,3385.7107,1203.8412,2833.8677,2849.8616,1977.9106,2957.8972,3145.9863,2106.7605,2276.7598,2634.858
3252.321,3334.1995,1206.5002,3286.102,3881.9653,2729.5103,3278.7305,1965.4166,3004.4229,3599.6284,3553.257,3628.875,3551.8022,3247.5134,2909.4805,3863.7922,3636.5837,3549.5093,2751.1323,3485.5586,3574.3735,2935.9216,3381.2075,3500.7227,3077.3147,2982.989,3066.6665,4117.0264,4060.925,3660.7678,3435.8052,3657.1445,4101.4507,3751.739,3624.4045,1793.0576,3604.5808,3617.4248,3359.9932,3390.203,3771.1416,1990.6051,2925.1255,2884.9233,3190.0571,3457.1206,3501.4333,3830.8564,2545.1497,3755.8967,3423.2087,3406.845,2505.4387,3150.6975,3321.2703,3113.189,3101.1807,3388.4375,1201.8789,2834.705,2844.5972,1982.7313,2959.7095,3141.756,2114.479,2276.7957,2626.0083
3246.468,3338.4673,1165.3107,3285.089,3876.3372,2732.9678,3283.3513,1983.675,3003.4685,3600.297,3550.9558,3623.665,3547.289,3237.6582,2908.7969,3856.1472,3629.2864,3544.634,2730.6973,3484.3564,3570.614,2916.6982,3381.985,3491.2307,3070.078,2988.8242,3067.1243,4111.275,4052.1365,3656.3486,3425.184,3649.5198,4105.539,3747.5425,3621.106,1832.0996,3608.64,3619.0828,3347.5544,3390.0186,3775.6252,1974.4152,2922.3894,2882.756,3188.0962,3458.543,3499.0674,3821.179,2547.1863,3753.1707,3425.191,3399.7847,2509.3613,3154.6147,3322.1643,3086.9766,3100.2742,3394.3508,1199.6865,2831.0947,2846.2195,1993.0452,2959.4272,3140.6362,2105.6416,2275.9585,2614.7073
3252.1787,3340.3752,1233.4124,3286.2495,3863.768,2733.668,3283.4573,1988.7958,3003.3486,3597.1675,3556.2112,3625.016,3542.9768,3230.09,2912.038,3851.9436,3626.0745,3545.8086,2746.2043,3482.2874,3570.0693,2936.3967,3382.407,3508.7014,3088.3813,2989.7498,3068.0251,4115.0527,4051.7532,3655.4526,3425.013,3625.3096,4107.9717,3746.1223,3628.9531,1809.1552,3608.302,3621.2227,3373.8708,3399.8164,3779.887,1976.1654,2923.7034,2879.1982,3190.4812,3462.9827,3501.0825,3827.8596,2547.8574,3760.64,3425.574,3411.9868,2511.869,3157.491,3321.957,3114.0488,3099.2822,3393.5535,1193.0929,2830.3442,2851.434,1973.618,2963.1755,3136.4302,2082.6904,2270.349,2616.306
3245.1116,3341.0562,1218.9952,3282.0503,3856.5093,2734.564,3285.2087,1986.7697,3001.0398,3599.7053,3565.843,3625.623,3547.495,3223.0078,2917.355,3853.4744,3629.0723,3544.0098,2752.7446,3486.9248,3571.7292,2912.5542,3392.0337,3490.9175,3094.5735,2994.2043,3076.9114,4120.842,4057.34,3658.7134,3424.131,3609.428,4110.8755,3751.948,3622.0002,1788.743,3613.303,3621.9517,3363.27,3405.9338,3783.8748,1984.5627,2925.5964,2894.0237,3199.6743,3467.863,3505.387,3820.4614,2555.8416,3762.7112,3428.742,3400.682,2543.1365,3164.8252,3325.549,3093.8176,3105.2388,3384.0535,1213.6798,2829.2302,2858.965,1996.1261,2966.4204,3141.2976,2097.1675,2276.118,2614.751
