ROI_001,ROI_002,ROI_003,ROI_004,ROI_005,ROI_006,ROI_007,ROI_008,ROI_009,ROI_010,ROI_011,ROI_012,ROI_013,ROI_014,ROI_015,ROI_016,ROI_017,ROI_018,ROI_019,ROI_020,ROI_021,ROI_022,ROI_023,ROI_024,ROI_025,ROI_026,ROI_027,ROI_028,ROI_029,ROI_030,ROI_031,ROI_032,ROI_033,ROI_034,ROI_035,ROI_036,ROI_037,ROI_038,ROI_039,ROI_040,ROI_041,ROI_042,ROI_043,ROI_044,ROI_045,ROI_046,ROI_047,ROI_048,ROI_049,ROI_050,ROI_051,ROI_052,ROI_053,ROI_054,ROI_055,ROI_056,ROI_057,ROI_058,ROI_059,ROI_060,ROI_061,ROI_062,ROI_063,ROI_064,ROI_065,ROI_066,ROI_067
-0.2962792,0.3553179,1.1518968,0.14401765,0.23628065,0.24913298,1.1891174,-1.8971614,-1.8133452,-1.3446311,0.35261598,-0.4934556,0.27358583,0.242509,-0.26320505,-0.008024736,0.6018878,0.16521353,-0.55610174,-0.08349575,1.1629018,1.3083947,0.65306705,1.097119,-0.72088295,-1.2662221,-0.4797782,-0.38577718,-1.4259695,-0.1174582,0.18403281,0.68605083,-0.8112562,0.26469663,0.2625894,-0.5401192,-1.1419413,1.0148404,0.57471806,-0.0051786504,0.7567084,0.86175513,-0.1697676,0.37387475,0.4516019,-0.7493197,0.06149629,-0.053244818,-0.08885882,1.0189775,1.2853854,0.328394,0.8682466,0.55807555,1.0181788,0.37243193,0.009294533,0.26320764,0.5454045,0.67406344,0.79948115,0.37860546,1.0132908,1.0812976,-0.48613042,-1.3285453,-1.457131
-0.29847434,0.35582954,0.92094964,0.118949585,0.3016524,-0.0078849755,1.1638596,-1.44227,-1.8741752,-1.106459,0.48157787,-0.43334663,0.31225494,0.24007526,-0.09483781,0.0122281695,0.5233111,0.19517592,-1.7509831,-0.20027076,1.0909401,1.6781319,0.2276767,1.3754396,-0.20514885,-1.3442826,-0.54474366,-0.18510252,-1.4215047,-0.33425862,0.062309086,0.51255524,-0.39260378,-0.0143483095,0.37679166,-0.17962353,-1.730465,0.8483948,0.80593324,-0.32000816,0.6343177,0.7981073,-0.34850657,0.6366661,0.44521436,-0.54785895,0.2972487,0.19119573,0.34232894,1.4377126,1.4289125,0.719936,0.4381857,0.7843166,1.0066273,1.0341594,-0.45468587,0.36414802,0.104574,0.68023014,0.85778135,-1.1142387,1.0460042,1.1114099,-0.9119596,-1.5672699,-1.4581494
-0.58286107,0.09520623,0.8691467,-0.13967995,0.39349008,0.44200492,1.10188,-1.5032501,-1.9338716,-1.4253213,0.37157515,-0.4871822,0.7125875,0.39318815,0.32833558,0.26059163,0.9679682,0.20802933,-0.53014565,-0.03095241,1.160777,1.5854375,0.477359,1.113228,-0.84763277,-1.4562885,-0.56692433,-0.32351318,-1.3445585,-0.20334722,0.16883862,0.03318205,-0.8360091,0.15384008,0.18226162,-0.11478401,-2.0248752,0.85303867,0.74306893,-0.34903833,0.50812227,1.1094196,-0.41134727,0.5870725,0.61358017,-0.8181144,0.26949063,0.14658223,0.48300564,1.1281382,1.1894933,0.69574064,0.96593153,0.50695944,0.85270685,1.0998837,-0.62581384,-0.058656763,0.9187651,0.60498226,0.503133,-0.31257832,0.62866545,1.0321699,-0.45743018,-1.4351097,-1.197358
-1.0614142,-0.28602117,0.56046546,-0.33229658,0.55524784,0.13244526,1.0835191,-1.5716754,-2.0590308,-1.739869,-0.2603993,-0.5409619,0.7422733,0.14818478,-0.01940306,0.6092006,0.9576637,0.07903589,-1.1213458,0.20371594,1.4513997,1.6059711,0.3857187,1.3605447,-1.8347249,-1.6252557,-0.67069954,-0.8136676,-1.4757699,-0.23262021,0.03496501,0.2704516,-1.0726283,-0.008269211,0.16613093,0.5408579,-1.9506798,1.0735601,0.67412764,-1.4200184,0.62095594,1.0342247,-0.26071945,0.67476344,0.8895988,-0.80389434,0.29832843,0.1315858,0.6955166,0.72228473,1.041209,0.745419,1.4155868,-0.008581927,0.94863963,0.74291563,-1.0406486,0.1528161,1.1956503,1.0998982,0.6015951,-0.66750234,0.5300689,1.1395568,-1.5732229,-1.6230743,-1.2320198
-0.9081677,-0.22337581,1.1306914,0.16023135,0.71755767,0.75105625,1.4873106,-1.4829117,-1.7074757,-1.5412875,0.18099171,-0.043652985,1.2934005,0.39769927,-0.09163637,0.5449178,0.8927877,0.3228173,-1.3870412,0.5089832,1.6511282,1.5986797,0.7937509,1.2876103,-1.050461,-1.6482904,-0.4948902,0.12673157,-0.8673011,-0.030907087,0.22505233,0.7720616,-0.5906957,0.63361806,0.5316538,0.7554868,-1.0597243,1.3578575,0.47913966,-0.3029443,0.5223828,0.99448663,-0.402486,0.93876415,0.76199543,-0.6652488,0.5765734,0.29823458,0.4933631,1.5976673,1.6095806,0.86365896,1.0691912,0.8790217,1.0595527,0.50315887,-0.49114487,-0.58007634,0.7092869,0.9917405,0.4719153,-0.38747773,1.1534342,1.3666781,-1.8166622,-1.6439518,-2.0419514
-0.9939202,-0.3364895,1.4504482,-0.07005581,0.81305736,0.81761986,1.3090808,-0.66926026,-1.6587415,-1.1763259,0.29897317,-0.15834212,0.46746746,0.49100754,0.38802233,0.3841471,0.9772693,0.34267375,-0.55514777,0.44769165,1.3096713,1.5775249,1.0884451,0.9640544,-0.21815585,-1.4862974,-0.3530341,0.9057537,-0.6119928,-0.18334354,0.35248324,1.1123686,0.12942457,1.058193,0.60516584,0.4257487,-0.56951636,0.98240024,0.6303164,0.111969724,0.28997466,1.0690196,-0.0799303,1.1660694,0.9332608,-0.03449405,0.72184217,0.24594943,0.78170246,2.2049997,2.0643837,0.94140244,1.4304013,1.5146207,1.1374909,0.971166,-0.12089678,-0.9134043,0.84583855,0.95227605,0.60986525,0.10518409,1.492729,1.4749019,-1.5461831,-1.2391087,-1.9106662
-1.6862411,-0.54461837,1.2889744,-0.22357005,0.8941578,0.22219265,1.162058,-0.7968238,-1.5263149,-1.0123353,0.6304563,0.0016381504,0.56824374,0.71196926,0.81168824,1.0665257,1.2295948,0.4497826,-1.1614658,0.58632815,1.2956299,1.3879752,0.7294372,0.93704194,0.40441895,-1.3804786,-0.32738695,0.80703235,-0.5189896,-0.03158327,0.50310385,1.4736531,0.6619201,1.3181205,0.5479208,-0.5518827,-1.4066732,0.99033064,0.3424607,-0.29661635,0.08799004,0.61650544,0.071715735,0.92828465,0.8471134,0.064838104,1.0182935,0.40868434,1.0978491,1.9343697,1.9546086,0.92642945,2.1970332,1.5752305,1.165875,0.5162638,-0.08373221,-0.32784677,0.40646264,1.1936774,0.6661055,0.21077572,1.337598,1.7836896,-1.7520661,-0.94427276,-1.0020744
-1.5845159,-0.28089795,0.63800603,-0.23108731,1.1367518,-0.029395089,0.76640475,-1.2586488,-1.6377062,-1.2056804,0.55704355,0.08583536,0.96062803,1.0167849,0.9586953,1.3570296,2.0570626,0.8530312,-0.46727598,0.61919254,1.5275205,2.1337898,0.77160096,1.1060133,-0.46652648,-1.5112122,-0.39327624,0.4897137,-0.5194003,0.1330667,0.6656836,0.5083896,0.12744707,1.6351956,0.61030793,1.5605648,-1.5958574,1.1895491,0.8296052,-0.29580507,0.107965305,0.6240093,-0.20195162,1.1135882,0.6759005,-0.22649457,0.8293361,0.600753,1.3910787,1.65883,1.6445296,1.4007711,1.7012897,0.9667898,1.2585057,1.9558532,-0.14544249,0.061906338,0.5835858,1.238606,0.9481399,0.5009228,1.0231106,1.7112771,-0.8833516,-0.6862434,-0.5042334
-0.7897852,0.28932297,0.74498856,0.45100403,1.4142551,-0.0940494,0.86013085,-1.2083565,-1.4827844,-0.8162497,0.9226584,0.86486894,2.1339178,1.5724039,0.32880217,1.9794986,2.3162773,1.266767,-0.33324236,0.81340265,1.5118755,1.5964118,0.71373403,1.2254592,-0.69138217,-1.1472976,-0.32858202,0.62388855,0.08671024,0.94572306,1.1030731,0.029678838,0.34926906,1.8590579,0.91736656,0.6299069,-0.8212433,1.4689232,0.49552608,-0.4023122,0.19443493,0.29464966,0.36057386,0.93184364,0.6009732,-0.089619085,1.1083784,1.1087987,0.21469785,1.328219,1.5172021,1.225464,0.85263735,0.77038884,1.3090724,1.4280276,0.12342055,0.47424984,1.3544534,1.5640438,1.1163684,-0.118495256,0.9960213,1.8049713,-0.3076868,-0.38624808,-0.29818922
-1.288043,-0.070006184,0.6246633,0.24077342,1.2759155,0.40908268,0.88303214,-1.9129797,-1.4680622,-0.85964125,0.46071246,0.28137094,1.5760622,1.481082,0.18367454,1.409806,1.7799987,0.8591762,-0.9837744,0.35337338,1.4048752,1.3731309,0.86108595,1.1380489,-1.0395247,-1.2975093,-0.44723192,0.27349144,-0.43707526,0.58317757,0.94739234,0.5649005,-0.18251047,1.2190741,0.9424865,0.81743157,-0.83852774,1.2548153,0.6474807,-0.28268942,0.32262266,0.563335,0.14727044,0.67678726,0.43721944,-0.30463052,0.84752584,0.90938795,0.33595043,1.3312646,1.615022,1.2350034,0.7162825,0.77898866,1.2508545,1.2349344,0.25217357,0.41722962,0.47470307,1.4672545,1.0331591,-0.5797103,1.1349428,1.8049808,-0.82111317,-0.21301377,-0.30093762
