ROI_001,ROI_002,ROI_003,ROI_004,ROI_005,ROI_006,ROI_007,ROI_008,ROI_009,ROI_010,ROI_011,ROI_012,ROI_013,ROI_014,ROI_015,ROI_016,ROI_017,ROI_018,ROI_019,ROI_020,ROI_021,ROI_022,ROI_023,ROI_024,ROI_025,ROI_026,ROI_027,ROI_028,ROI_029,ROI_030,ROI_031,ROI_032,ROI_033,ROI_034,ROI_035,ROI_036,ROI_037,ROI_038,ROI_039,ROI_040,ROI_041,ROI_042,ROI_043,ROI_044,ROI_045,ROI_046,ROI_047,ROI_048,ROI_049,ROI_050,ROI_051,ROI_052,ROI_053,ROI_054,ROI_055,ROI_056,ROI_057,ROI_058,ROI_059,ROI_060,ROI_061,ROI_062,ROI_063,ROI_064,ROI_065,ROI_066,ROI_067,ROI_068,ROI_069,ROI_070,ROI_071,ROI_072,ROI_073,ROI_074,ROI_075,ROI_076,ROI_077,ROI_078,ROI_079,ROI_080,ROI_081,ROI_082,ROI_083,ROI_084,ROI_085,ROI_086,ROI_087,ROI_088,ROI_089,ROI_090,ROI_091,ROI_092,ROI_093,ROI_094,ROI_095,ROI_096,ROI_097,ROI_098,ROI_099,ROI_100
4128.4434,3466.9807,4070.4575,3314.2642,3379.9294,3938.548,3771.5737,3585.1528,3600.1917,4051.6465,4169.172,3932.9116,3710.7427,3605.185,3645.3877,3581.2104,3873.8057,3698.27,3981.284,3847.012,3730.045,3765.2441,3576.8032,3865.0562,4478.029,4016.4138,3784.8042,3978.177,4014.8608,3639.7961,3475.507,3240.5193,3162.6309,3979.0625,3579.5417,3764.0212,3801.9934,3689.6592,3728.5852,3866.0732,3558.4746,4001.7173,3479.3518,3624.2437,3459.1475,3901.187,3602.8472,3780.8682,4040.152,4034.142,3488.7573,3591.8909,3432.996,3290.9006,3458.1194,3851.0962,3696.4636,3473.538,3698.425,3972.5127,3539.3901,3194.61,3671.175,3471.9214,3858.7666,3574.0564,3594.6409,3529.317,3759.8777,3553.8293,3814.642,3350.1638,3445.8748,3530.3635,3543.8772,3897.061,3754.9807,3571.371,3112.6187,2841.8528,3559.7495,3707.8193,3350.1943,3253.9973,3891.5059,3539.3872,3802.7742,3740.3806,3626.548,3509.1123,3062.9187,3636.9365,3594.9534,3269.803,3145.4268,3460.2756,3747.6611,3531.2732,3872.7761,3956.71
4123.106,3463.1462,4076.962,3311.2222,3378.8079,3936.4817,3773.4421,3581.2024,3598.1008,4044.8665,4170.804,3936.1545,3707.82,3607.6135,3644.755,3575.189,3871.4326,3701.292,3991.793,3849.5283,3725.1636,3772.5237,3577.0237,3871.3667,4475.056,4019.6162,3781.8735,3977.4436,4000.7405,3638.7166,3456.609,3233.0603,3159.5107,3982.1963,3575.257,3755.1592,3790.4673,3684.0068,3725.4077,3875.15,3554.7903,4012.5457,3479.4724,3611.8562,3454.0242,3897.7073,3601.9158,3783.076,4021.2786,4030.6587,3480.399,3602.5398,3438.0571,3291.2778,3458.149,3847.629,3698.902,3475.7095,3694.5303,3972.675,3542.4607,3190.6267,3676.306,3472.8655,3858.168,3580.7932,3602.504,3531.081,3756.0476,3559.289,3813.0679,3354.4705,3451.4207,3531.837,3547.0576,3898.7393,3750.9595,3564.701,3114.3857,2842.7842,3557.79,3708.6235,3345.0125,3262.1863,3885.1592,3537.0283,3805.9783,3745.444,3619.1895,3512.5564,3061.3616,3641.8418,3604.7642,3274.019,3154.6829,3448.693,3740.21,3531.575,3866.137,3946.2139
4126.9087,3464.5378,4078.8567,3306.792,3373.9922,3933.6042,3771.2173,3582.832,3590.7332,4052.2688,4180.714,3941.3281,3715.4224,3609.4802,3644.6309,3577.2852,3875.4207,3704.6292,4000.7913,3853.0015,3730.8362,3774.6436,3579.939,3873.0308,4474.002,4026.644,3782.8066,3982.5054,3996.5781,3638.7434,3447.5393,3249.37,3160.766,3988.3438,3584.8765,3759.5063,3795.828,3690.1304,3720.0295,3875.0422,3563.5764,4005.0093,3486.9514,3612.231,3458.4792,3898.473,3598.7952,3788.8289,4009.3533,4037.5947,3491.1907,3596.3616,3431.6094,3288.6685,3451.249,3855.5317,3688.9375,3472.9307,3692.2551,3973.744,3534.2043,3190.9817,3664.7732,3471.9946,3862.9993,3577.7942,3602.162,3528.6926,3753.558,3561.0664,3804.0193,3351.1448,3446.5537,3530.7607,3542.3545,3899.4138,3740.5503,3562.6836,3111.1692,2847.7546,3550.26,3707.1365,3342.3286,3256.9756,3875.059,3536.1377,3796.3894,3743.9187,3627.8503,3498.5654,3059.1123,3630.5056,3590.027,3262.0308,3149.2168,3448.758,3740.2632,3529.9785,3869.8,3950.2068
4122.9404,3453.784,4073.007,3310.8323,3382.7864,3949.5115,3777.5059,3588.3115,3602.1978,4055.4526,4178.5015,3951.0498,3718.762,3606.7097,3645.3977,3577.7947,3887.2444,3707.465,3996.1797,3849.1914,3731.8606,3782.741,3577.8682,3876.7197,4491.9727,4035.466,3787.086,3990.2495,4009.1687,3638.7825,3440.6108,3250.174,3156.0376,3984.3457,3585.5986,3751.5413,3796.6235,3679.0793,3721.2046,3876.8745,3563.5344,4023.3152,3486.8782,3609.3374,3446.7825,3900.3042,3608.7322,3795.0417,4019.834,4021.4785,3478.2903,3589.0134,3432.371,3284.9092,3451.4392,3848.6572,3693.2085,3474.717,3685.1704,3966.0752,3528.8035,3193.3208,3664.9824,3471.7363,3868.6155,3578.6348,3605.6184,3520.372,3752.7327,3552.5684,3818.1045,3350.2449,3441.7043,3527.8696,3545.3364,3891.8708,3748.0625,3560.237,3098.1162,2842.9377,3552.8406,3713.0496,3331.1902,3254.0664,3869.3235,3537.3494,3788.0137,3748.4136,3634.9048,3494.895,3052.958,3626.8237,3587.316,3261.2744,3137.3225,3442.209,3737.2666,3529.6018,3880.8354,3959.9084
4131.919,3466.5298,4086.9978,3313.2158,3384.062,3954.2,3783.8577,3593.6055,3604.1575,4060.9434,4171.271,3953.685,3722.8184,3611.4316,3653.696,3578.9526,3884.0303,3720.65,3998.0354,3852.4006,3728.273,3789.7966,3584.7776,3882.2668,4495.247,4027.9978,3792.0842,4005.1086,4006.383,3653.2368,3466.9417,3241.1238,3155.6875,3994.1907,3594.925,3766.3792,3808.8145,3689.5603,3718.1665,3878.8564,3566.05,4008.7764,3485.8293,3627.267,3453.0386,3907.133,3607.2212,3797.022,4018.1597,4026.3438,3497.0718,3600.5498,3433.407,3281.3474,3459.5105,3861.296,3701.659,3476.358,3697.7654,3988.2473,3545.8057,3203.2593,3686.8032,3483.6475,3881.8757,3594.0486,3612.8296,3533.5342,3756.592,3558.8276,3819.3992,3355.9763,3457.7295,3533.4382,3555.8438,3905.718,3762.4329,3575.0264,3133.9368,2849.4768,3560.0725,3720.1968,3350.8008,3254.8596,3880.5103,3546.3674,3806.0952,3750.119,3637.86,3502.8535,3070.1577,3630.1003,3598.6526,3292.3672,3151.4788,3447.535,3743.1968,3541.0132,3883.1475,3951.33
4130.032,3468.6802,4080.5708,3307.1287,3386.1929,3949.3547,3772.914,3591.8086,3600.2168,4060.6475,4186.3306,3945.264,3727.2107,3608.6309,3652.1157,3581.8665,3883.3945,3710.465,4000.7295,3841.3865,3732.7893,3789.2048,3584.8044,3878.4592,4486.854,4027.2175,3789.1594,3996.2922,4001.6392,3654.944,3468.872,3258.04,3152.8088,3988.0515,3591.5415,3760.3152,3817.4365,3697.162,3706.564,3868.0425,3548.9668,3995.23,3485.0312,3627.0405,3466.699,3901.2173,3596.523,3788.2437,4010.9172,4025.8467,3512.3318,3614.4358,3444.4482,3289.6838,3465.2498,3876.004,3707.2214,3481.502,3707.9392,3997.0522,3568.1099,3210.6934,3708.55,3482.738,3881.1006,3583.5889,3614.2583,3537.5388,3763.1638,3559.668,3816.049,3367.1462,3468.6538,3541.689,3560.637,3919.4814,3769.2422,3582.7737,3147.2021,2861.8728,3568.0212,3714.9126,3361.6409,3260.5012,3887.0806,3546.1233,3832.0713,3746.6343,3624.5144,3505.8608,3078.6182,3647.212,3602.495,3297.7144,3164.0828,3454.1223,3739.668,3551.3838,3888.813,3958.2183
4140.9644,3468.8872,4086.4067,3313.3647,3381.4985,3936.3674,3767.3433,3591.457,3600.1897,4061.0288,4178.025,3958.2966,3735.154,3607.9106,3644.555,3579.9958,3887.9172,3714.8274,4011.1458,3847.9019,3736.9487,3789.1072,3591.9043,3882.2888,4502.8857,4048.6365,3785.2659,3994.8022,4012.4065,3650.928,3457.041,3246.333,3150.6858,3984.5083,3589.6194,3753.847,3815.7124,3694.7146,3707.6736,3857.6746,3546.6692,4004.1877,3487.4966,3614.4055,3457.439,3885.5964,3594.899,3786.4556,4039.8733,4023.7026,3503.1643,3611.0051,3451.8323,3295.6895,3473.9973,3862.285,3713.213,3482.7197,3703.4377,3987.439,3564.502,3219.472,3703.8945,3478.413,3876.421,3579.247,3614.3699,3541.6785,3775.0198,3569.2744,3814.8267,3372.2107,3469.3677,3541.8943,3561.4895,3917.2505,3777.1777,3593.8584,3134.8074,2858.2095,3573.4204,3723.0554,3356.3787,3261.3643,3884.9067,3540.9534,3817.8086,3749.0664,3635.241,3512.6387,3074.0742,3644.7854,3593.136,3290.977,3160.9387,3446.914,3733.1987,3542.837,3894.504,3965.083
4131.634,3470.0793,4092.3691,3314.3733,3382.86,3939.0227,3771.2615,3592.3345,3601.905,4060.8823,4192.008,3966.666,3744.6885,3626.6477,3649.4258,3586.454,3895.9863,3722.3853,4023.3809,3855.8538,3741.7212,3798.0095,3597.2153,3891.55,4491.134,4062.4663,3795.9668,4000.6836,4005.4102,3660.2122,3450.0254,3260.869,3156.2441,3997.9983,3598.6821,3760.047,3812.8894,3696.3096,3718.2034,3863.8372,3554.7393,4017.26,3492.4011,3614.038,3465.6836,3890.4521,3607.9868,3797.6316,4036.7705,4022.0696,3489.962,3610.6487,3449.1567,3289.4084,3463.0286,3859.883,3700.6887,3476.2341,3701.7747,3994.1262,3559.1853,3207.9973,3695.84,3477.8044,3878.224,3585.213,3611.9492,3540.342,3771.7395,3571.2925,3816.116,3361.0413,3470.5571,3535.1655,3559.348,3915.483,3782.674,3595.4866,3125.1858,2863.3523,3558.5283,3719.0042,3346.912,3266.0317,3889.1394,3537.4866,3831.949,3752.4172,3641.4487,3503.8997,3063.3208,3637.0286,3585.304,3273.1997,3149.8699,3452.2656,3735.9812,3543.9666,3874.8547,3967.14
4131.0703,3486.7168,4108.688,3321.79,3399.7449,3958.5657,3787.8154,3603.1204,3614.5908,4082.0198,4205.8467,3986.911,3745.5278,3635.1848,3671.4443,3594.8584,3906.8972,3740.9558,4025.6143,3881.8384,3769.4705,3794.392,3600.05,3897.8096,4511.9663,4066.2976,3805.032,4004.6272,4034.9534,3671.6812,3457.5835,3258.7566,3170.6147,4015.7864,3594.945,3778.42,3831.7073,3693.9932,3734.3271,3878.4846,3569.0854,4020.3875,3490.3503,3624.7715,3470.1934,3895.8108,3602.2283,3797.6482,4057.8835,4035.116,3492.8374,3616.521,3454.0076,3300.1956,3477.1777,3874.3503,3709.2522,3487.8965,3697.0127,3978.278,3564.5974,3207.4717,3687.5017,3476.6892,3889.9973,3588.702,3608.4978,3541.5505,3784.1584,3579.7717,3842.3948,3361.3599,3463.995,3524.8909,3562.445,3910.8887,3788.7478,3598.7935,3107.6624,2839.36,3565.497,3719.912,3347.4993,3263.0376,3890.3098,3538.3862,3821.4001,3764.0535,3652.1013,3504.316,3062.3179,3623.2295,3586.6582,3272.0398,3147.8308,3451.3206,3740.6833,3547.044,3899.0188,3967.8452
4129.234,3482.588,4085.4524,3320.7996,3392.669,3952.6892,3777.4966,3599.2842,3608.1785,4074.0146,4183.4644,3977.1702,3745.9543,3616.3943,3662.4277,3591.6829,3902.7427,3729.62,4017.2554,3870.894,3759.3503,3791.9497,3589.889,3891.6653,4498.2363,4049.7668,3797.0322,4004.7314,4023.5303,3671.3787,3467.3708,3250.7253,3165.6914,4008.2178,3590.9905,3776.3352,3816.558,3689.9192,3722.693,3870.1094,3561.0623,4019.314,3479.9873,3620.1096,3465.881,3891.7888,3598.4453,3795.604,4037.7947,4023.8523,3496.064,3611.5198,3451.4429,3296.6082,3467.9644,3863.3267,3703.4158,3484.0142,3697.0837,3984.358,3568.3037,3212.3728,3693.754,3474.5845,3891.5967,3590.2493,3606.2014,3539.313,3782.4841,3565.6284,3836.9907,3365.2148,3463.8564,3526.472,3562.2915,3915.1514,3759.4634,3600.4595,3114.079,2841.0847,3572.598,3720.4043,3352.7405,3264.1926,3896.623,3540.2754,3811.4558,3758.2888,3645.2424,3507.008,3064.3335,3627.533,3588.6777,3260.7683,3152.7852,3452.0496,3741.8547,3541.9226,3876.1213,3966.2205
