ROI_001,ROI_002,ROI_003,ROI_004,ROI_005,ROI_006,ROI_007,ROI_008,ROI_009,ROI_010,ROI_011,ROI_012,ROI_013,ROI_014,ROI_015,ROI_016,ROI_017,ROI_018,ROI_019,ROI_020,ROI_021,ROI_022,ROI_023,ROI_024,ROI_025,ROI_026,ROI_027,ROI_028,ROI_029,ROI_030,ROI_031,ROI_032,ROI_033,ROI_034,ROI_035,ROI_036,ROI_037,ROI_038,ROI_039,ROI_040,ROI_041,ROI_042,ROI_043,ROI_044,ROI_045,ROI_046,ROI_047,ROI_048,ROI_049,ROI_050,ROI_051,ROI_052,ROI_053,ROI_054,ROI_055,ROI_056,ROI_057,ROI_058,ROI_059,ROI_060,ROI_061,ROI_062,ROI_063,ROI_064,ROI_065,ROI_066,ROI_067,ROI_068,ROI_069,ROI_070,ROI_071,ROI_072,ROI_073,ROI_074,ROI_075,ROI_076,ROI_077,ROI_078,ROI_079,ROI_080,ROI_081,ROI_082,ROI_083,ROI_084,ROI_085,ROI_086,ROI_087,ROI_088,ROI_089,ROI_090,ROI_091,ROI_092,ROI_093,ROI_094,ROI_095,ROI_096,ROI_097,ROI_098,ROI_099,ROI_100
-0.47289434,-0.8819385,-0.35711488,-1.2291427,-1.0044591,-0.58757645,0.06619659,-0.017974278,-0.36180684,-0.15890752,0.24566095,-0.13185048,0.092066765,0.44202706,0.55282384,-0.12517087,0.012727845,0.12356867,-0.1682504,-0.07752485,0.78035694,-0.67428035,0.33907738,0.31731513,-0.17417161,0.49757436,0.9506975,0.44028595,0.7363632,0.08925572,-1.3258208,-0.43026254,-0.32685328,-0.4595921,0.6204727,0.06508719,-1.6504122,1.0564849,0.18804507,0.65437734,0.40784335,-1.1914288,0.5054398,-0.9268185,-0.43732992,0.8197841,1.048724,0.20655656,0.33717054,0.15853085,-0.71111834,-1.388072,-0.27215284,-1.1648697,-1.0703142,-0.49933067,0.0055111847,-0.8031407,1.1298859,0.7181034,0.7115704,0.62901264,0.74479914,0.719306,-0.18967292,0.6169871,0.2717148,1.0792775,-0.10190498,-0.38566533,0.56973237,0.61388195,0.7857456,1.1594367,1.2201087,0.96706116,0.2783593,0.58684516,-0.7785427,1.0514675,0.7871813,-0.6794298,0.71439767,0.71512395,1.2964085,0.9241322,-1.3135564,-0.025273629,-0.31169707,0.19575426,1.0896487,0.9240026,0.8386473,-0.25179183,-0.8602365,0.9780004,0.9439476,0.8079975,-0.41835663,-0.4209319
-0.8662592,-1.0244402,-0.047153823,-1.3771477,-1.0432765,-0.6692725,0.16878925,-0.24308403,-0.46004447,-0.46881068,0.31733528,-0.009496845,-0.04303145,0.5645666,0.5248257,-0.46331048,-0.13012972,0.2801708,0.28442404,0.020086758,0.5123794,-0.20388852,0.3558621,0.665446,-0.3530442,0.63882005,0.7774208,0.40945566,0.069262564,0.044328142,-1.9074067,-0.8195016,-0.5789617,-0.2873742,0.34270582,-0.28981742,-2.2696216,0.76437956,0.011094265,1.1029105,0.19593163,-0.5908942,0.51122284,-1.5132196,-0.72187304,0.68465924,0.9982314,0.31874222,-0.36644146,0.0018014868,-1.3394631,-0.84424883,-0.051306978,-1.1490763,-1.069178,-0.63838506,0.11671464,-0.703287,0.9685444,0.7236523,0.80055916,0.45397222,0.90056133,0.74822813,-0.21628988,0.9059799,0.8196186,1.1549644,-0.30808055,-0.07113873,0.48851475,0.85671455,1.1221447,1.2365876,1.3242078,1.0389813,0.09577572,0.21745072,-0.6786687,1.0949421,0.688142,-0.62802196,0.46438378,1.0485642,1.0709794,0.83522135,-1.1108363,0.3604328,-0.7887147,0.42021215,0.9824817,1.1911911,1.3207313,0.029189954,-0.24945039,0.11365064,0.6325599,0.8248601,-0.6809606,-0.9358474
-0.5859989,-0.97272366,0.04313999,-1.5926934,-1.2099442,-0.7830331,0.046624493,-0.15022157,-0.80621636,-0.13046263,0.7524626,0.18569972,0.30838642,0.65875965,0.51933837,-0.34559774,0.109950356,0.45310622,0.6720236,0.15481293,0.82379574,-0.06690585,0.5778182,0.7572465,-0.41647816,0.94879186,0.83259106,0.62224,-0.12738314,0.04544574,-2.18652,0.031608474,-0.47752652,0.050460543,0.96631235,-0.1157236,-1.9816383,1.0808355,-0.2884101,1.0975901,0.7012844,-1.008857,0.8698397,-1.4954792,-0.4744419,0.7143899,0.82905805,0.6110725,-0.81102055,0.31387612,-0.5281907,-1.1597606,-0.3326644,-1.2583311,-1.3345476,-0.32144448,-0.33770758,-0.8310737,0.87429625,0.76018286,0.56127936,0.46957096,0.5504522,0.72154975,-0.0014763073,0.77732915,0.7958019,1.0524949,-0.44209203,0.031251535,0.02167734,0.6691938,0.82692915,1.1802361,1.1702688,1.0678896,-0.37685087,0.10573056,-0.8604648,1.3269466,0.30754516,-0.7230813,0.33489487,0.8363939,0.71223164,0.801652,-1.7175137,0.24423735,-0.22728011,-0.49160525,0.82767934,0.57371324,0.5965796,-0.7697752,-0.6101417,0.11849692,0.6347841,0.7356495,-0.53607166,-0.7399635
-0.8784585,-1.3723742,-0.23561786,-1.3961176,-0.90558237,-0.15413566,0.3919246,0.16201892,-0.26754963,0.015064969,0.6553174,0.55249345,0.46276018,0.5189608,0.55326676,-0.3169853,0.8217397,0.6000678,0.47338104,0.0070175803,0.8800343,0.45633543,0.42015705,0.96075374,0.6648666,1.3378987,1.0856061,0.9477848,0.46744445,0.047071345,-2.3997414,0.073562,-0.85959506,-0.16925278,1.0131291,-0.43470657,-1.9388939,0.50973356,-0.22297297,1.1881341,0.69886917,0.0063772867,0.86632776,-1.6324552,-1.1240706,0.7855028,1.3677605,0.9267753,-0.4202959,-0.4112443,-1.497981,-1.5350183,-0.29942563,-1.4157324,-1.3272331,-0.5971446,-0.14293452,-0.7489251,0.5808111,0.49808565,0.40475485,0.5723573,0.5568039,0.71363676,0.24823673,0.8133878,1.03664,0.69552183,-0.48652595,-0.45830896,0.7483657,0.61845225,0.53277993,1.0288491,1.267871,0.74463606,-0.035760704,-0.029758692,-1.5982052,1.10211,0.43797696,-0.34509137,-0.20250827,0.71793723,0.5085077,0.84732217,-2.2474375,0.5866308,0.23001805,-0.7308127,0.40411937,0.3731623,0.46335724,-0.8201824,-1.3950146,-0.37023,0.50955564,0.7145986,-0.09957975,-0.26402116
-0.21674474,-0.8986965,0.4310974,-1.2801486,-0.8614334,0.031224802,0.7406967,0.46368632,-0.1754719,0.26603618,0.33783203,0.6519202,0.6502681,0.7572274,0.920419,-0.2519595,0.62824994,1.2833202,0.5533155,0.13150623,0.6830787,0.9122607,0.9462084,1.2667689,0.86189675,1.0085012,1.381132,1.5724263,0.3358398,0.648595,-1.5894191,-0.3987178,-0.8878833,0.3717792,1.617743,0.15951593,-1.2839701,1.0513752,-0.3921605,1.2860734,0.8435606,-0.79993653,0.81603664,-0.7836941,-0.77661216,1.0506805,1.2858473,1.0273987,-0.482715,-0.19234167,-0.086077146,-0.9458744,-0.25422308,-1.5648639,-1.0168121,-0.09027469,0.24243645,-0.6734679,1.1025591,1.2558737,0.89750075,1.0090787,1.2192379,1.0785327,0.8378261,1.4746025,1.5391219,1.2602097,-0.27877334,-0.097720824,0.81516117,0.9416234,1.5048215,1.3204373,1.6117885,1.3380557,0.6167225,0.7892746,0.4263343,1.4073317,0.8035069,0.1117895,0.74365723,0.7502355,0.90585303,1.1872301,-1.1034374,0.71653247,0.42159423,-0.21214269,1.5878626,0.5516382,1.0204201,1.2520115,-0.4608807,0.02721931,0.75738025,1.3522788,-0.00813093,-0.68485725
-0.35579532,-0.8187809,0.12482442,-1.5763131,-0.7876856,-0.16033237,0.13979305,0.36129412,-0.36062533,0.2525112,0.99908835,0.334195,0.85330474,0.61590093,0.8504991,-0.08833253,0.5899782,0.75553125,0.66936296,-0.29574224,0.93101895,0.8740198,0.9482531,1.056716,0.35686377,0.9740862,1.2082018,1.2018062,0.111719765,0.71964395,-1.530011,0.484039,-1.120482,0.034400646,1.3983942,-0.08333155,-0.82077295,1.4442261,-1.0382926,0.75168943,-0.13901836,-1.5512108,0.77776814,-0.79441917,-0.01792547,0.8209597,0.7058773,0.5813358,-0.7527154,-0.21470647,1.0610981,-0.23673977,0.22757883,-1.215817,-0.7960807,0.49958524,0.4961068,-0.43691322,1.5240109,1.5568044,1.5439056,1.3357507,1.8794262,1.0506727,0.8033608,1.0259066,1.6386758,1.4320189,0.07498966,-0.04931048,0.6423218,1.5714463,2.1674607,1.7524695,1.7686763,1.9278866,0.9258985,1.2183217,1.1760794,1.9859358,1.2052665,-0.22599801,1.2666662,0.97995156,1.1392255,1.178028,0.54004115,0.45109427,-0.44352937,-0.016149767,2.17014,1.4836994,1.2092347,1.6083763,0.37082464,0.51880664,0.60990983,1.9317997,0.21596214,-0.34693795
0.44989917,-0.81108695,0.40293077,-1.2729027,-0.9501538,-0.67378974,-0.16609474,0.34126088,-0.3618986,0.26994193,0.63439184,0.82591236,1.2204884,0.57955915,0.51597905,-0.19337735,0.8622454,0.981591,1.1180412,-0.043005172,1.1593641,0.8677094,1.4888029,1.267981,1.3215358,1.9187969,0.97799385,1.1391706,0.6204103,0.5525117,-1.894108,-0.1268798,-1.2920262,-0.16031721,1.2737869,-0.34237015,-0.91339666,1.3177422,-0.97649926,0.2393472,-0.27117005,-1.0544187,0.89598036,-1.3925393,-0.5322183,0.21437196,0.6178362,0.49047568,0.32677647,-0.3111739,0.37193036,-0.41193816,0.5497922,-0.96436137,-0.4596504,-0.050610617,0.7693391,-0.3809125,1.3375373,1.2282463,1.4393437,1.7215027,1.7380944,0.9181783,0.59528834,0.83965415,1.6464503,1.6096203,0.71320343,0.5041033,0.57925475,1.8570087,2.210762,1.7632208,1.7965809,1.8322791,1.2862103,1.8321943,0.47553998,1.8149437,1.4781615,0.29452625,1.012777,1.0150928,1.0620128,0.98316383,-0.3623444,0.6363598,0.25181073,0.42557418,1.85741,1.3515282,0.7493445,1.159365,0.16335745,-0.019111818,0.3395575,1.4541909,0.4410595,-0.010168479
-0.23776066,-0.7667832,0.68706363,-1.2238331,-0.9030306,-0.5688126,0.049050897,0.39126053,-0.28130335,0.2632464,1.2483727,1.1416848,1.6612194,1.5250248,0.7314852,0.16928916,1.3480052,1.3732481,1.6450659,0.26545584,1.421364,1.442964,1.8931603,1.7788908,0.6143898,2.52878,1.6106904,1.3864081,0.28987622,0.93887675,-2.1100116,0.63165987,-0.84290624,0.58102745,1.8613075,-0.09406698,-1.0650545,1.4001681,-0.39010754,0.5438788,0.1929968,-0.32943898,1.1311522,-1.4099329,-0.07431883,0.40292865,1.3273532,1.058376,0.21110363,-0.38465038,-0.620563,-0.43014124,0.43304113,-1.2273476,-0.8815075,-0.14693627,0.1981911,-0.67916,1.2686439,1.4568002,1.2852602,1.2172798,1.4935783,0.8995326,0.67546487,1.0955731,1.4777768,1.5522842,0.5366242,0.62036127,0.6457731,1.2272133,2.2829108,1.4108834,1.7264837,1.7565296,1.5357704,1.9223628,-0.068261504,2.0549936,0.7254576,0.035551652,0.55603784,1.2051444,1.2123538,0.8524937,0.53230244,0.89160675,0.6542236,-0.14396363,1.1173226,0.929016,0.36449313,-0.025415111,-0.56704694,0.38025048,0.45583817,1.5173163,-0.33613962,0.090737805
-0.2792887,-0.14848076,1.4647236,-0.8629787,-0.31865853,0.20382509,0.958014,1.005878,0.3147413,1.229402,1.8560287,1.9055129,1.7000188,1.9558043,1.7056754,0.64123684,2.0048413,2.3355958,1.7412691,1.2734209,2.9447508,1.2092116,2.1089826,2.1242068,1.8679376,2.6977644,2.146673,1.5521876,1.6856121,1.4161637,-1.8774134,0.5214315,0.31825238,1.5585747,1.6190408,0.6417204,-0.054115746,1.2804594,0.5078074,1.2676992,1.018148,-0.15599304,1.0328176,-0.9018318,0.1761496,0.6110151,1.0151726,1.0592196,0.99820507,0.20234871,-0.4043974,-0.13025177,0.64471436,-0.77569044,-0.3373317,0.4332696,0.588717,-0.14285342,1.071379,0.91514987,1.4421102,1.1941822,1.2404425,0.8653676,1.1989352,1.2452432,1.2372789,1.6041318,1.205144,1.1088388,2.0015578,1.2451779,1.8848772,0.8728726,1.8278577,1.5596437,1.8115468,2.1054983,-1.0586674,0.9351177,1.0776852,0.0935923,0.58436686,1.0832283,1.2539259,0.88640356,-0.13511069,1.7779876,1.3447683,-0.11683521,1.0482975,0.1773854,0.43103835,-0.10271805,-0.70159936,0.30972442,0.65234303,1.6892844,0.6196406,0.12533937
-0.4146327,-0.3019245,0.35745227,-0.9111694,-0.5635523,-0.028502887,0.39141518,0.78727895,0.013455484,0.8635017,0.87323487,1.5380007,1.7197344,1.0076408,1.3067443,0.4629129,1.7547377,1.7481672,1.3812118,0.84888095,2.389174,1.0513889,1.3353611,1.7852479,1.0417683,1.9686534,1.6736842,1.5565698,1.1459408,1.4035754,-1.5762106,0.10232941,-0.079558164,1.1426408,1.3626723,0.5582324,-0.86796355,1.069922,-0.1400787,0.85382736,0.5566772,-0.21552792,0.53591186,-1.1225166,-0.063349314,0.45483413,0.8100919,0.9553458,0.24928504,-0.3044403,-0.16183971,-0.3856559,0.53279996,-0.9258953,-0.69167745,-0.008831646,0.3225546,-0.32138652,1.074322,1.1229435,1.5495236,1.4095497,1.4302462,0.80088925,1.2700477,1.3116212,1.0772645,1.5081353,1.1150144,0.29406258,1.7227502,1.4625434,1.8764658,0.9556612,1.8228314,1.7423214,0.48189378,2.1977625,-0.6959997,1.0156168,1.4365886,0.12505504,0.8372431,1.130259,1.478167,0.9576096,-0.76427823,1.3388699,0.90014696,0.058616493,1.1870198,0.4117937,0.53027433,-0.85391194,-0.37467498,0.3641266,0.7012958,1.4030985,-0.28604072,0.045632396
