,ROI_001,ROI_002,ROI_003,ROI_004,ROI_005,ROI_006,ROI_007,ROI_008,ROI_009,ROI_010,ROI_011,ROI_012,ROI_013,ROI_014,ROI_015,ROI_016,ROI_017,ROI_018,ROI_019,ROI_020,ROI_021,ROI_022,ROI_023,ROI_024,ROI_025,ROI_026,ROI_027,ROI_028,ROI_029,ROI_030,ROI_031,ROI_032,ROI_033,ROI_034,ROI_035,ROI_036,ROI_037,ROI_038,ROI_039,ROI_040,ROI_041,ROI_042,ROI_043,ROI_044,ROI_045,ROI_046,ROI_047,ROI_048,ROI_049,ROI_050,ROI_051,ROI_052,ROI_053,ROI_054,ROI_055,ROI_056,ROI_057,ROI_058,ROI_059,ROI_060,ROI_061,ROI_062,ROI_063,ROI_064,ROI_065,ROI_066,ROI_067
ROI_001,7.254328619247669,1.5237095928898177,-0.0380830523700785,1.3282185737420404,0.9700293520889683,1.0466284482048123,0.9597537727246874,0.26082004581665164,1.142902768000757,1.0241266680055825,0.42194925581833276,1.2090490325205652,1.0230730380957584,1.0663243666780078,0.6900451379976696,0.9059209453379456,0.9407034792331951,1.144313810165722,0.5465987824019783,0.8007690945092277,0.7341324612198604,0.6963302479470038,0.624130953633913,0.14908343279095965,1.191300390897009,1.1310957304417462,1.0414761388909801,0.5585760359206322,1.2595782821250106,1.1956684185321464,1.1308531510202795,0.13559214123703103,0.8006330934651761,1.2044790878546534,1.1229451676069642,0.43387306321215163,0.6958526256462728,0.9234464328985367,0.9661171955019852,0.559045984304462,0.6012851109195329,0.6597555699801599,1.0967768856014,1.0320083546903405,0.412764330904104,1.20551304849059,1.0268855195332631,1.0825822106747172,0.35458238873876313,0.9970223522849275,1.2422721696989534,1.1552239981948487,0.3566658886817485,0.6257620462668587,0.6762490018878254,0.5827720135552018,0.13267207828066233,0.20541014883171466,0.5064184567910347,0.9059385736914404,0.6312726993097868,0.10037339232375087,1.0212615751732144,0.7910235829471914,0.11057258285982959,0.537991268279036,0.05309167777879972
ROI_002,1.523709592889817,7.254328619247669,-0.16420344439349824,1.544415551717781,1.3428378112076607,1.0666313256476845,0.8474181679943444,0.2701907838610857,1.273433790260019,1.08571911508389,0.2927746718094587,1.4348013334362673,1.1566931022155296,1.2581461140438142,0.6479231556796383,0.9021603042252984,1.0737643417718095,1.2005676920899624,0.41461768420313344,0.7979987815846616,0.6461689587372197,0.9445451549879695,0.5622016698113996,0.03848954071775331,1.4769272645186973,1.2393009204222696,1.1902733587138485,0.5418523888746302,1.2573913680740885,1.3161656794255596,1.3299047458769326,0.08733546878734602,0.713964238793379,1.4231695256337062,1.1913591591337866,0.42052072650004546,0.6952169950136822,1.0041817321598212,0.9075856056925281,0.41830422451664073,0.4198810248098564,0.5992689252431406,1.1675912009495137,1.321536699487353,0.30055472835279445,1.4474769642197518,1.278781871866187,1.481157549327235,0.2624404351145642,0.9569152924104719,1.4372127172248053,1.4099787572830869,0.2723175898686667,0.6815220731663433,0.6747666698501964,0.7045022481742227,0.06098329159913009,0.18455753989018295,0.6031475668323814,0.9351827349503821,0.6615424017911237,0.13691536596279233,1.1115224526111571,1.116368325151959,0.11109280965181781,0.7405616793412879,0.1127520399376788
ROI_003,-0.0380830523700785,-0.16420344439349824,7.254328619247669,-0.1665870656313145,-0.32507475857161555,0.2268136381753719,0.4526230008083551,0.6265751908494538,-0.3140312250663392,-0.27246434204059317,0.9383241019724522,-0.062010360834796385,-0.3401185595164504,-0.287463753919758,0.6296394756824126,0.2808916401256441,-0.35506911151902576,-0.3305854120588009,0.5652237498550007,0.2536515571790803,0.08019254440502238,-0.5194128139188201,0.1773574386629062,0.5847514234575795,-0.09702738986010312,-0.3587999413174134,-0.3115546405741554,0.649455727475147,-0.24513267323589205,-0.1662785188884011,-0.30396115429064796,0.8728683159792591,0.5335716882218645,-0.15043983587504683,-0.3516978247259304,0.1399034203342536,-0.20645097008022645,0.052050323964325636,0.017256423046203315,0.39159087039831664,0.14709517524941154,0.5562765543251296,-0.3423657002152146,-0.3015872296998242,1.0658241968604707,-0.2150236501229048,-0.3305139768793901,-0.23059287229597938,0.9862759046607597,0.26306446867946054,-0.2211728233679158,-0.281926443469433,0.9915294128266281,0.14188681499095002,-0.16452428764693844,-0.28529926337496364,0.17779879488563374,-0.1999542850800927,0.19813546681829602,0.012497113996073587,-0.025331552016593466,-0.6321307453601469,-0.3943301641981053,-0.2942412050367139,-0.6413891615541788,-0.8866678128464557,-1.1114325912568797
ROI_004,1.3282185737420409,1.5444155517177818,-0.16658706563131453,7.254328619247669,1.7943713966131074,1.1328887285810285,0.8815033415444617,0.18494880701033228,1.6601608823125364,1.460881764401072,0.29654295301506345,1.7884336599969797,1.2002651916006188,1.809533403493963,0.680821377846822,1.1026307610583423,1.3114799395913672,1.6428864507390746,0.4791447094890881,0.9577849881589814,0.6782956054694089,0.911368865620916,0.674308673294978,-0.031165701878988455,1.4449289639072376,1.5307793066396151,1.5083118509680313,0.5756724938930787,1.6345335568680803,1.44743571768583,1.9156177180775658,0.06545728094808147,0.8397743223633635,1.6466667919845568,1.568832243719233,0.4592371120120965,1.0274151227062653,1.1595674483951735,0.8185535635651883,0.46989747080469674,0.35494541072297386,0.5315058454808805,1.3744909758096626,1.5722391837146161,0.27957799549749185,1.9357451618894796,1.4729358369838772,1.9198621553494541,0.26463105984399166,1.1162770308845544,1.8237000644544756,1.8590756686615992,0.2691756120205675,0.8126533927908856,0.8450696418769079,0.737063380948525,0.26225950122939024,0.2870741319195703,0.6190855736749161,1.0033159915238943,0.47773743040960415,0.18420893982737457,1.4510985543125872,1.4468047567722755,0.09072352386633019,0.8555580359174894,0.1713479486160519
ROI_005,0.9700293520889683,1.3428378112076607,-0.32507475857161555,1.7943713966131074,7.254328619247669,0.8941586378656844,0.6556414178538034,0.09434629329964134,1.390638037563435,1.240106290780995,0.11529795032075482,1.5304485268172021,1.1448852518844181,1.7471496575889756,0.49060167204044614,0.9289552850360043,1.3653404452809443,1.3775966746182557,0.27839975701739683,0.800193030734383,0.5498985394379861,1.0444984754085842,0.4378915133442891,-0.1121140584686177,1.2498021818937535,1.2658141496966115,1.2885174570223608,0.45700839461734305,1.2946793986875258,1.2031444268485831,1.6527091435139165,-0.026682570486484047,0.6132932338834803,1.3947856763834658,1.3358038173787086,0.40258069685691455,0.852749098537852,0.9999551199327995,0.7016956054830299,0.25181506074249305,0.21322046837885372,0.4135084500241288,1.1603645732134789,1.474682423254492,0.10352720214472311,1.5365656511122758,1.2461973496149097,1.8821080346144956,0.09524745102250261,0.8092558276862029,1.437807701498425,1.660604592763569,0.09676267831144368,0.6831075540851247,0.6871091115085184,0.8096572265939068,0.10140960380173053,0.2505875651356908,0.6071962612675066,0.8716426783692242,0.3907760068490773,0.2056681985001913,1.2413318426126223,2.0312316431125903,0.10018623444830684,1.056820609629002,0.2692338019105564
ROI_006,1.0466284482048123,1.0666313256476845,0.2268136381753719,1.1328887285810285,0.8941586378656844,7.254328619247669,1.2498758107042969,0.4322553080243972,0.7524951970047059,0.6625076595257041,0.6458660527659306,1.0060527954840723,0.5692211935170186,0.7960151862773316,1.0131986541367586,0.9400559644682672,0.5790568565981122,0.6957935642504559,0.7827375198276728,1.048848220890282,0.5059271013134983,0.42190614180719527,0.6734857024739851,0.08305988183209814,1.1100896244827578,0.7081985426086453,0.6958732895799181,0.8853702487997014,0.7918064662859552,0.7332866252876431,0.8359843867555077,0.3873625349141963,1.0223420110888846,0.9176669752088957,0.6690224373351376,0.41727389697664335,0.6592449762157128,0.9794874979764179,0.5994267925390112,0.5942954829803119,0.3000516880621196,0.7067719525203346,0.6494437402781714,0.7780716629032121,0.6556911142819825,0.9635913013014141,0.7661429988801767,1.039758162963349,0.6480051284590568,1.2391236545675344,0.9464160870326077,0.8094609176357995,0.6492349722487035,0.9957101283522202,0.6135030791561465,0.31395837311734354,0.2672951713514217,-0.006141366084403457,0.6243709098289065,0.8565818473001006,0.4065401957500426,-0.05305193984913659,0.6921874498110345,0.8344582884459251,-0.24041942060284158,0.3828423335158615,-0.3204139413918185
ROI_007,0.9597537727246871,0.8474181679943444,0.4526230008083551,0.8815033415444617,0.6556414178538034,1.2498758107042969,7.254328619247669,0.5626977341680112,0.6376030889983934,0.6200618730607225,0.7533522900917675,0.8971621949981992,0.5254054673817862,0.6443056833497356,1.0607455902365548,1.1195318274747794,0.5561412469444355,0.6394449390444122,0.723111464004307,1.0167970171567822,0.6893114142362665,0.38629091315082414,0.6433352500346133,0.42408771967987574,0.8088235021735416,0.5919656336560879,0.6017787693643005,0.9339776749173299,0.7079830793739843,0.6929947539711304,0.6670088517636181,0.4017701018306521,1.1252128438941504,0.7563325624736573,0.6039994549965418,0.4518298712541681,0.4299996139293673,0.9497502157407812,0.8141840608295744,0.6338927698282399,0.5143193150965281,0.9848224733731303,0.5549415831814367,0.645982564540557,0.8246293603511743,0.7233462311415405,0.5313880312309315,0.7248102435831613,0.7465239615380012,0.9739265938471144,0.7189854292952529,0.6997145427003276,0.7468528565776736,0.6004659321451241,0.4709244321719635,0.4240345497500108,0.15201563087742648,0.08130242609135156,0.6148646779226773,0.7420060209820889,0.465370250537612,-0.2753800434396333,0.4710722567836227,0.5818784150520355,-0.22721492057801526,0.11815590970468809,-0.36207508906792296
ROI_008,0.2608200458166516,0.27019078386108575,0.6265751908494538,0.18494880701033228,0.09434629329964134,0.4322553080243972,0.5626977341680112,7.254328619247669,0.13508971001818487,0.13648375346408492,0.5936254865198152,0.3037330964108673,0.040775533723454264,0.08102183922590903,0.6820388851718477,0.4114855951563211,0.015621242644619967,0.06632608731232165,0.3566611580788893,0.3670325279586911,0.0702900104738308,-0.04034947663944056,0.16396662638416631,0.16875339416224072,0.35430896801544204,0.089105198175385,0.12673822846025884,0.7029279596807064,0.11661466053676943,0.17268604652454048,0.09999592246888815,0.5340385708479677,0.6201840293957277,0.18732869609470817,0.07434979145975718,0.25181498769189314,0.01987637213751517,0.1209228773480465,0.1956321522582396,0.2462800332465904,0.059235198386790686,0.54804683060569,0.09666678121010333,0.16274758397091535,0.632370005793003,0.20573852617442656,0.08381597306085654,0.15771665023009715,0.7671550495763834,0.4481997857737231,0.1701286402426259,0.1397872811731939,0.6755836904830321,0.3095468209215798,-0.14960556376694784,-0.04094308037081786,-0.09192186846626146,-0.3243019478027537,0.32044087748531846,0.17872189192681875,0.12493087903328212,-0.41245253939181414,0.006144113829091297,0.042413294231634605,-0.35504995339750856,-0.29531529313343396,-0.620270115376585
ROI_009,1.1429027680007569,1.273433790260019,-0.3140312250663392,1.6601608823125364,1.390638037563435,0.7524951970047059,0.6376030889983934,0.13508971001818484,7.254328619247669,2.3337825891847603,0.11880197282900778,1.6313649973934325,1.2867702573370823,2.0078063347153843,0.5063559387476607,0.9123068954044834,1.4643859469414973,2.0809241573707564,0.35517267019374615,0.7197516843687799,0.6394679862324845,0.9798953764961531,0.5927421545697867,-0.11734496178104852,1.1410241496829432,2.3561183074194267,2.451898535025495,0.44513621811799653,2.1827334873703856,1.8125104672124228,2.24118408268047,-0.01086663743608888,0.686361980831081,1.5970608219833136,2.0744868514998056,0.37764590249201074,1.060793694225552,0.888833836259566,0.7776302272709046,0.4124368461839835,0.38304918538941396,0.3865730085748546,2.230587214447858,2.0029739239471454,0.1427727758769168,2.0636379812621546,1.4275711376983333,1.5353981578112343,0.15187132662333772,0.8787664638080149,1.84737885512554,2.0843398201952006,0.1288302726465671,0.5830250314187667,0.6442066478665354,0.7279334756112975,0.14606927085864485,0.23841075415752744,0.5023419202342642,0.8256400571989633,0.3636987484030785,0.2800903853976296,1.380016191318618,1.1492376088104839,0.2274431162781519,0.8595955693854901,0.3018258013623982
ROI_010,1.0241266680055825,1.0857191150838905,-0.27246434204059317,1.4608817644010725,1.2401062907809945,0.6625076595257043,0.6200618730607225,0.13648375346408492,2.3337825891847603,7.254328619247669,0.11119977130249022,1.521349896752235,1.1871002197025053,1.8481991070752513,0.49048418215543554,0.9282990447735621,1.4637829855908746,2.0921037064928525,0.3430157379813655,0.6970006432643464,0.6401769935856726,0.9714608512489319,0.5831460155077722,-0.10722810997540379,1.0292585882454848,2.068281833932402,2.3778145419417216,0.4301053895615346,2.081091496644025,1.761290313164538,1.997478149368439,-0.036042767993281086,0.7097319446729418,1.5146182289297898,2.0334442993762347,0.38042002176191636,1.071562351472943,0.8612569270581021,0.7556823566995655,0.44185996897857516,0.3957765264060716,0.39158794055213003,1.9617173416760754,1.8083304705714027,0.140090120613783,1.7794043248720728,1.251865920315325,1.337269004974148,0.14579930261812116,0.8525964170511691,1.630187755170562,1.8766380506077853,0.13962425467511386,0.5319406089692107,0.5565153582483072,0.7133086634070764,0.13757010446111892,0.2142641897070238,0.49671696981951935,0.7406617914025211,0.30904017162251374,0.2579307026278267,1.2263831231756406,1.0333119934663137,0.2339266001986759,0.754362392945213,0.2921603191950497
