edge_index,mean_fc_z_across_windows,std_fc_z_across_windows
0,1.078316256195747,0.3267540702434762
1,0.2959422194379825,0.4713639895941111
2,0.7441586197878525,0.37443487281421833
3,0.35568793911263047,0.40231214712397356
4,0.952122810789506,0.252146309088951
5,0.7885789280885679,0.4009694802058218
6,0.25810079300584565,0.29146408402256035
7,0.515380423056648,0.42707446693737205
8,0.41089469523359545,0.45305210884129066
9,0.5389848253092975,0.41420848751015477
10,0.6848759405341192,0.36509931911248067
11,0.7685255978735608,0.34201762105012656
12,0.3381612057275735,0.4560475587864077
13,0.5066905122199594,0.24822551331186285
14,0.49588500544114433,0.29936376456819713
15,0.3557848710413525,0.3399659898511881
16,0.6143414630875333,0.37184866974782516
17,0.4835254210058666,0.2927382369584794
18,0.7991292823467478,0.2630479546066653
19,0.7176513476850872,0.3183975746587281
20,0.35270155105045864,0.35045341249210954
21,0.6870356957279962,0.44976514086552144
22,0.42321444510826967,0.4059380133444898
23,0.6097943887801697,0.39880066497002264
24,0.6537785369048861,0.389419233407934
25,0.4113724657762229,0.4483743270213601
26,0.4424355889893942,0.16868920621449282
27,0.6893428283672303,0.36715489546605073
28,0.7062789611284216,0.3813637733978169
29,0.49674354625661943,0.426186130106312
30,0.15373504964799717,0.16338388061255318
31,0.5236328811958398,0.31037529989117074
32,0.5016569372922064,0.3766845479286047
33,0.5482764314290153,0.4088580294215437
34,0.06267250687404231,0.22831343284181363
35,0.45226612106357805,0.32767534449469454
36,0.7673428312538199,0.33988908293579106
37,0.7435347466484612,0.31648371167556766
38,0.6344322103154477,0.3880625020672858
39,0.7722636093996982,0.33116751294039565
40,0.445826173913382,0.35507590528449967
41,0.5386063060712968,0.3923688120228591
42,0.24297068953165651,0.5074254243567661
43,0.5506099869713509,0.3822334805348221
44,0.5201039544401712,0.39642994748608174
45,0.5537933894475392,0.4036329001197933
46,0.3889994151191321,0.4379076111542082
47,0.19580265795509355,0.2871476845154977
48,0.40971818717997216,0.3284850029254829
49,0.377718246503085,0.41978716626857737
50,0.40190328767862404,0.42321978034706537
51,0.17354612114136178,0.328767448576568
52,0.4678567052625834,0.24630892192749854
53,0.510782134028471,0.27219039045465215
54,0.26420072988449356,0.27167172175745624
55,0.32950265026058734,0.3779293519096032
56,0.3098637729306629,0.2290793289768699
57,0.3218628824586378,0.2396985221119931
58,0.6351071536269001,0.37546580384507533
59,0.5689547093490517,0.3401180144822287
60,0.11125528834283759,0.2843081575545313
61,0.45684368926994884,0.42222858862916557
62,0.1672173060483088,0.4386840263126242
63,0.21920996827590172,0.20857760305090167
64,0.33950656156793485,0.4031949525996094
65,0.26601257891413194,0.35340078838414046
66,0.18097146613283385,0.5473612315806017
67,1.040336907591764,0.40113081175836973
68,0.7971939134385415,0.4509870117288794
69,0.9994060829083704,0.23312992857824089
70,0.6526220453754611,0.3552183659361922
71,0.23711786515990277,0.21395346770758103
72,0.7755071485717678,0.5019759897195132
73,0.6614222030965657,0.4979974640349146
74,0.5630568973612925,0.47168684109146514
75,0.9997248960181083,0.43528074465175326
76,0.8698505553146777,0.3396163737612941
77,0.652946675327949,0.4555210400052799
78,0.629601273355413,0.29437682984310104
79,0.6929852065838344,0.30483481461527373
80,0.6089811106507396,0.3357185533337894
81,0.8270349225110201,0.39133570094986225
82,0.409293357941138,0.35379961443066815
83,0.9516046731659918,0.31417442136819246
84,0.7182859253987922,0.26929771470877334
85,0.39129570695301163,0.3898025702423273
86,0.6873243018348094,0.3704804936158875
87,0.5520431216658405,0.4869821772933964
88,0.7520543610985262,0.3926859057922729
89,0.8553520550234837,0.45899022709805176
90,0.7095025042967112,0.496953544161741
91,0.590916295838406,0.23794713148736715
92,0.9090638905336023,0.45213938909324186
93,0.8066020941811217,0.5081971161096628
94,0.8223229125601242,0.4503006555069627
95,0.209821232187994,0.20751522384565582
96,0.7821876184852405,0.32626391313767733
97,0.8455047341831162,0.38289000070648505
98,0.8230394416206533,0.3904208684578919
99,0.17095074975929744,0.20609274445439107
100,0.5944040376093754,0.3524468302266034
101,0.9679047220816356,0.25656589904018917
102,0.8338574726552745,0.26338149281527323
103,0.5769171032949947,0.38336400744872967
104,0.6888985205831278,0.30050989523042476
105,0.36916839469064006,0.38357876688667036
106,0.7185095564786673,0.43967192259931787
107,0.569223744841168,0.5383717717478975
108,0.5551179492193387,0.4681379226679534
109,0.8958582093672075,0.43869199974390427
110,0.7375459203825504,0.475967434650201
111,0.801516304437616,0.4568406413893671
112,0.280190208730116,0.2864049876699313
113,0.6780734515480062,0.2891934710052068
114,0.719549278211737,0.3869618058453615
115,0.7439512394194885,0.4356830622547329
116,0.2940316622125664,0.2778101509563294
117,0.7920531694813019,0.2552874910741399
118,0.6878911196545863,0.2964559775878703
119,0.45205923206368614,0.3087647061008647
120,0.4144496608745664,0.3832171343386931
121,0.4765039113154439,0.2789390922701951
122,0.411214905920284,0.270940890030476
123,0.6999852192888659,0.33008532741981844
124,0.5992939658383385,0.3162675052526739
125,0.19481923938857904,0.2573702179260121
126,0.795456169642578,0.35717815901456673
127,0.5943108396007944,0.4119662539089852
128,0.2177063768646827,0.22399167363156655
129,0.7039011294345868,0.40937832651977557
130,0.3322338788604625,0.3738516256840377
131,-0.034934578695115515,0.5394149628485123
132,-0.3303775662325801,0.4410733092415522
133,0.4545526409656184,0.5146294732362083
134,0.6222233391495009,0.35741808511629897
135,0.2539008585522774,0.2883114915027945
136,-0.12182396761517372,0.5173367668820316
137,-0.11504277310410374,0.5305340445141602
138,0.60710953956851,0.31610524980518356
139,-0.007695255208675595,0.5435875867614695
140,-0.033679268000263815,0.5383836404702315
141,-0.25919975284004354,0.4110135421875698
142,0.411284235598786,0.34132821832548466
143,0.03454180518051995,0.35062450604121903
144,-0.23418596557904794,0.4275517849177265
145,-0.048954530910765647,0.5414371185361568
146,0.34560482608369664,0.38445034877464557
147,0.27880862831271297,0.4513870670224536
148,0.2709532499852937,0.41664815057755583
149,0.07561550819441151,0.5225896350106453
150,0.3747616731126651,0.4209891690303885
151,0.5697954766828798,0.38291645281428005
152,0.1362139029638104,0.5152114143073132
153,-0.036426505134521656,0.5758678644272915
154,-0.10222686269899492,0.5805791929369298
155,0.24941046711717213,0.3664755401177443
156,-0.018606219107955197,0.5584820851933794
157,0.05835685346809799,0.5169951877393987
158,-0.15558321058874283,0.5753976787850034
159,0.32910604868655596,0.25397280901595554
160,0.3868002510643638,0.4129463259948599
161,-0.018411681975680032,0.4986353670688232
162,-0.0386166550332336,0.5469465816104218
163,-0.061672434834843415,0.1341139518585461
164,0.0005804220123171167,0.49291100635998364
165,0.27319568474608313,0.48004225125754363
166,0.4488705971155904,0.44332942121926594
167,0.4927752053337221,0.4698286005507274
168,0.5936635338494526,0.3822307611276846
169,0.5650285840560728,0.3053595013906339
170,-0.005983026599446716,0.5275115145567347
