,ROI_001,ROI_002,ROI_003,ROI_004,ROI_005,ROI_006,ROI_007,ROI_008,ROI_009,ROI_010,ROI_011,ROI_012,ROI_013,ROI_014,ROI_015,ROI_016,ROI_017,ROI_018,ROI_019,ROI_020,ROI_021,ROI_022,ROI_023,ROI_024,ROI_025,ROI_026,ROI_027,ROI_028,ROI_029,ROI_030,ROI_031,ROI_032,ROI_033,ROI_034,ROI_035,ROI_036,ROI_037,ROI_038,ROI_039,ROI_040,ROI_041,ROI_042,ROI_043,ROI_044,ROI_045,ROI_046,ROI_047,ROI_048,ROI_049,ROI_050,ROI_051,ROI_052,ROI_053,ROI_054,ROI_055,ROI_056,ROI_057,ROI_058,ROI_059,ROI_060,ROI_061,ROI_062,ROI_063,ROI_064,ROI_065,ROI_066,ROI_067
ROI_001,7.254328619247669,1.1510388342431788,0.8170788547241314,0.7873100980257733,0.015577640529321923,1.0523478784728078,0.9667246432042779,0.6480580400964582,0.42109339451840094,0.2559891993229985,0.9762331573647339,0.8143231540760502,1.1561868654510796,0.03954238652694734,0.49488761594852076,0.4544019237025493,0.1908799592169467,0.7102110663338544,0.4809826710113986,1.1761732519549872,1.0152524165739827,0.420173300038908,1.1236584742713007,0.836908461412026,0.6875424351602215,0.6960545269171845,0.3041325418798074,0.4262229882102764,0.677624693298288,0.8409202291101189,0.4534553137462139,0.1877024325605503,0.9235071897241907,0.5025376783530101,0.5902566848560884,-0.048758654999159115,0.4365253829311254,1.0099756725825069,1.0060922750420682,1.1008617680267465,1.3189133899194285,0.7437870288756485,0.48220199350436554,-0.10247160892720958,0.8461347511477252,0.5771486435818698,0.965966138083994,0.1442410390053988,0.2912160607599379,0.3725650560714019,0.2718231585031116,0.3206578623580206,0.23518832711797816,0.48748836077482827,0.48726709368560683,0.27924672071696943,0.4846063715256186,0.3937371737458298,0.006424699351595271,1.0479676548856873,0.8700483170629225,0.10821774074891473,0.6062800848813975,-0.46455397673316173,0.01771718533614034,0.253910598851943,0.32935941338548563
ROI_002,1.1510388342431792,7.254328619247669,0.7876558269603716,0.8596418675856561,0.4102956093016755,1.1639905656719163,1.099822934813946,0.3865429781005513,0.19036715793630865,0.12263832296166766,1.105580518587517,0.6683738385748076,0.8814189190855245,0.09783337316265757,0.48289133534093964,0.5300925325677155,0.26311418836481065,0.4957202094308849,0.2436459678813561,1.0663498540760443,1.0623450850937173,0.4425553640743069,1.1198215810699133,1.0346169916125934,0.6530921336184264,0.41360435573385645,0.18039964334482042,0.45206472403313946,0.43667054212089423,0.4063198789449831,0.45167825999169003,0.20324451390829837,0.8380675869804964,0.6787608342337415,0.5528904584781191,0.03110361456567605,0.10979143493655094,1.192970677057404,0.9513174902809381,0.7701886458156973,0.9895133693172266,0.6235593707794107,0.22212805776384764,-0.2323617117301761,0.9893531781995015,0.522499887169242,0.8258427547528063,0.3544870087845669,0.35116616295739167,0.513102977405365,0.5163913695267497,0.40617495842363743,0.18976827660069956,0.6978473340298602,0.8169644242873344,0.45422428992950986,0.6777035833703345,0.7005713134738373,0.003944927981536152,0.7039418036025705,0.939226280179325,0.14671517444471308,0.7455033470655668,0.049895824605403774,-0.0660684657029481,0.41991569428390024,0.37258159765286764
ROI_003,0.8170788547241312,0.7876558269603716,7.254328619247669,0.8157298592734856,0.14154355157647158,0.9735158852720214,0.8181448660102664,0.4784189003144925,0.785150006219042,0.6481112069829305,0.8174078952039925,0.982801346930577,0.7544170353348733,0.4075191103550213,0.7661767903767401,0.5198261342023462,0.3191809280670472,0.9419102958765663,0.563779011764677,0.9107820920646981,0.5976177138551902,0.3300801433082097,0.8217336941589711,0.6632779936433741,0.7357947278629652,0.8838789949143624,0.7768516348219926,0.7740113657968091,0.823143528741462,0.5131483906473178,0.8767162753573194,0.5218003169041787,1.007463090263799,0.584387552052764,0.9723677553965359,-0.0030288421596468477,0.457180536468321,0.608520977660624,0.7808731363899982,0.7598633074334051,0.880136058249101,0.7534474052752362,0.7065743433436279,0.23849428363203884,0.970700049135284,1.1682076265613315,0.6740487115346184,0.4921171773393652,0.6315104192819112,0.6028257730476806,0.800545153414476,0.7416819737084683,0.4383766224581746,0.5569008641654779,0.24464115710302256,0.12525431506704976,0.2632304335078961,0.14554917777547832,-0.04324235918473596,0.4284478619332235,0.3479354803142612,0.22298765155276123,0.5088650403404863,-0.16372134665627014,0.01801739130880108,0.12196693456862807,0.11087247925382512
ROI_004,0.7873100980257733,0.8596418675856563,0.8157298592734856,7.254328619247669,0.6298660812276281,0.8534315847779554,0.7388995714491744,0.3153775445266772,0.5739357226967371,0.4603828296645324,0.5440113531536943,0.8005063227591368,0.661790831591196,0.43583124439350673,0.3335501310944215,0.6421535070587222,0.2849172490006109,0.6088483714956557,0.31153713954430945,0.7814804049401314,0.6392328057374176,0.18083715430686495,0.7813704265952138,0.7084286693939329,0.39658765218052294,0.5430717254769455,0.4406611715590623,0.35603471033866557,0.6335267923798541,0.31019156072591797,0.5767173497944477,0.11679632566508452,0.6634089483824488,0.31957291526833315,0.7353110084116068,-0.03319025280892868,0.3329444273979183,0.5881396993043484,0.5310420632962504,0.4874891187017132,0.6058698327503976,0.45289171762287533,0.456511380788355,-0.03136476716188219,0.6082329099281949,0.7338666268226797,0.5291139271822322,0.5206663856117208,0.15664541684474054,0.44123041437033866,0.5944240840359857,0.6222719581646404,0.12183107518392494,0.5551396160366844,0.322383020410503,0.11253303680138703,0.30521678302469873,0.37485865311031935,-0.056234952802699134,0.39084389686644794,0.34319905750814006,-0.12019680937316445,0.6787161283582411,0.09968520482035641,-0.05735868428530262,0.24658116542061104,0.13589587565900366
ROI_005,0.01557764052932192,0.4102956093016755,0.14154355157647158,0.6298660812276282,7.254328619247669,0.3675764639407435,0.34860059269966837,-0.28538267652646326,-0.1020174532822592,-0.05956233833727727,0.04255037504452303,0.14535906110369437,0.041103669169455105,0.48671878440010097,-0.1309991232875541,0.3459514725685842,0.21464926180768532,0.002333391065765163,-0.3042359288222994,0.18874565323630468,0.2996705051902952,0.11170648977735809,0.23345790028177837,0.41982174013229007,0.035594520013769136,-0.08928234222764748,-0.07687293760899515,0.036838354622133834,-0.11672206485664047,-0.5047699058432351,0.22622277368421137,-0.019086019902935156,-0.01661578524813856,0.08233427007810941,0.23549920215736544,0.010702876774061159,-0.39684146270082354,0.21933616357145683,0.10894981891251679,-0.2165342076833516,-0.04174779137234964,0.05486324948940442,-0.10241441013896085,-0.3093661218332548,0.21774825196405825,0.10214111275028398,-0.13427642727369554,0.4997325585170206,-0.25837205346882886,0.08662853041629269,0.43029768488936987,0.31203289985482824,-0.3205053965586442,0.22417707462152223,0.2692854380156846,0.2493777185762412,0.10132795101017669,0.36965269861469763,-0.13383116262884864,-0.15010992140626594,-0.05411067689472863,-0.2082973152208069,0.20310493920153538,0.9339714658376024,-0.23431110372799566,0.10193447410068388,0.02917393572567333
ROI_006,1.0523478784728078,1.1639905656719163,0.9735158852720214,0.8534315847779552,0.36757646394074356,7.254328619247669,1.3263799623772077,0.48705581662248504,0.3035865877372089,0.1683332427186898,0.9734251266147348,0.7464578354093818,0.7388465631819032,0.22373815112436063,0.47310270851098835,0.3708290066189465,0.16603431857923454,0.6523218760733474,0.27503291311820466,1.0162557215728578,0.9233659365057563,0.33951248284558705,1.1159192614349671,0.9496789566468127,0.9943766459123843,0.5831515360621335,0.24192014109046514,0.6397521480840829,0.4247703933824516,0.30550925269356954,0.5815269419631909,0.3684710010838929,0.843621391820839,0.6028009694209064,0.659239448027043,-0.0025830487286343344,0.20097508381395127,1.0917681794720693,1.0075329923301752,0.8363894287497745,1.0087615538181296,0.9601902256854925,0.3187429148601105,-0.22788780154686678,1.1640096273481095,0.7165040849099141,0.6464891947914453,0.36487703572657043,0.2857806249693673,0.6336683738372614,0.7464233547421363,0.3619379749500063,0.17076722244949222,0.7425683262838803,0.6191353921420159,0.2156349820830617,0.5545012410833905,0.3355003964455017,-0.010375674745610176,0.5754333248624299,0.5698466736292168,0.16047879634708756,0.6024831539081837,-0.011036717730046414,-0.18480434401088708,0.21079824642940526,0.1107530999493132
ROI_007,0.9667246432042779,1.099822934813946,0.8181448660102664,0.7388995714491746,0.34860059269966837,1.3263799623772077,7.254328619247669,0.3485305735923498,0.23577295634792952,0.11595326613847722,0.8404288746026295,0.7713880386448703,0.8743567027528474,0.13841341760479878,0.28123629565782554,0.3457089085706536,0.2180339291544677,0.6561396500944175,0.06689153058832244,0.8785051970851524,1.2218501350648694,0.5908405371975992,1.3327386851147458,1.2263972975140023,0.8333123437343747,0.5844406709018983,0.22266961573946376,0.4037746491628456,0.31060417847825905,0.2655015120952543,0.533631382116274,0.19251758903483743,0.6800585077046277,0.5409378414821657,0.6737054462615304,0.03497613328908916,0.002681559248117212,1.074062887572461,1.0892631612165478,0.6193142475091953,0.9125671034576275,0.9364168169296214,0.34934193804622643,-0.20244835173245956,1.0588726926128758,0.5720953629896024,0.6037560240706675,0.21870635270256716,0.17189187166311448,0.42008040107460054,0.5315907881003272,0.325812780278969,-0.008460394897746937,0.4334513423872657,0.6344296336681041,0.39111736691314086,0.43458782374738664,0.4740889079125822,-0.00180797327692163,0.6081443836623464,0.5416634918451757,0.0006723898605177237,0.3669757716196363,-0.05212692735058954,-0.2321900501605835,0.008239982467963217,0.11849597227711899
ROI_008,0.6480580400964582,0.3865429781005513,0.4784189003144925,0.3153775445266772,-0.28538267652646326,0.487055816622485,0.3485305735923499,7.254328619247669,0.45472068755904754,0.3270176264947003,0.5689414025100743,0.4708742760864635,0.4747906786179883,-0.03410085754133268,0.5044018363066828,0.20934423669386928,0.0537471578126754,0.5862910364966549,0.591504884171501,0.597048382869009,0.28238770177125694,0.03984324304883542,0.39929580208510057,0.17898252233761963,0.7543450054316768,0.583030835720276,0.3219848871279949,0.3155958183788864,0.5668055775236671,0.6597285588565822,0.2258864946278588,0.028730410949389745,0.7399142293993061,0.3320551448371872,0.4254858890170503,0.12745171311172873,0.6735025981054384,0.45399454666471845,0.5188394936709015,0.865841936451695,0.6843098458078838,0.5269788247364652,0.39719721900242294,0.11024764253750953,0.4641682528810791,0.5387003350311066,0.5558955697002675,0.1508324268229676,0.45219725313600095,0.4277010317540121,0.23619358360927536,0.2654420086171129,0.4184447832320568,0.49495364186483887,0.07549009802699556,-0.05159948999385259,0.27790307426299343,-0.072098075132973,0.16529092938575748,0.6050329761770672,0.48396892896933513,0.1910419692842799,0.5329099751590656,-0.5333690357778021,0.05735946090291671,0.22008994584048122,0.16995529049993813
ROI_009,0.42109339451840094,0.19036715793630865,0.785150006219042,0.5739357226967371,-0.1020174532822592,0.30358658773720903,0.23577295634792952,0.45472068755904743,7.254328619247669,1.6371227600060139,0.29522349793240293,0.9779345012675216,0.5003875617921916,0.6762989626390254,0.6512908492267082,0.5779232621327329,0.4029588835285096,1.0176942860881988,0.7036323044549795,0.5259277139799592,0.17217258746902886,-0.026398857662842362,0.32952023353305704,0.19009534591325947,0.3892665273918392,1.1917272457618389,1.4752097069551293,0.4609546359371983,1.294210441182821,0.5996899270802258,0.8722375115577449,0.24042423838792895,0.7512555983925631,0.2555097208858938,0.9361501572372245,0.13914174651850522,0.9664492710814184,0.14959286474673897,0.34829156204165757,0.5138506176474779,0.5265386855630225,0.43665249184120475,1.136344120103578,0.7970174126890651,0.39526679297244094,1.2888831780037782,0.4009610719738058,0.5539374043028924,0.4894982612547322,0.36556338080405776,0.4536003378014427,0.8531659879659755,0.566844719650352,0.26257860419402596,-0.2611640152507843,-0.23627119278675113,-0.16471251480588345,-0.22434798027068112,0.08314816240764249,0.24280602330825327,-0.002386329004725388,0.03422084337092664,0.27572778459199265,-0.38174091158309,0.21673758236196872,0.034583441726449886,-0.007535939152271528
ROI_010,0.2559891993229985,0.12263832296166763,0.6481112069829305,0.4603828296645325,-0.05956233833727727,0.16833324271868977,0.11595326613847722,0.32701762649470034,1.637122760006013,7.254328619247669,0.1488214731501811,0.7900832911283469,0.34252350003921506,0.7506666943775944,0.6844542052283435,0.6187036380759671,0.44361525381389955,0.8220429364571004,0.6723431641733985,0.44604214671144227,0.06090078626880684,-0.10959040226405507,0.1999494263933635,0.09131956011966155,0.22142855248735638,0.9226451736826881,1.5195425551969526,0.3023230660206631,1.0659674330654325,0.43526722434330606,0.7695965039652016,0.1570647238106064,0.5780729938956413,0.14912968726953452,0.8104656082616349,0.145035814431918,0.9100496953467438,0.03347040110427989,0.22727164292255148,0.36568662068842417,0.40123286402311864,0.31142675776639483,0.8948806752587525,0.9050909264068334,0.24634570164624744,1.0266160524018744,0.21494402409463917,0.5814992002738992,0.4385980133180797,0.22567439223644548,0.3559197874851436,0.8724966403775928,0.5783645898331001,0.16821293671703857,-0.37048680915831445,-0.22893685131588443,-0.25403597179592396,-0.24757653267459828,0.07322905659008484,0.08835488411636036,-0.0773134706721087,0.010068169751070917,0.16477900344626906,-0.3086468912664796,0.11647742847620274,0.03229501361319161,0.003239756029934046
