,ROI_001,ROI_002,ROI_003,ROI_004,ROI_005,ROI_006,ROI_007,ROI_008,ROI_009,ROI_010,ROI_011,ROI_012,ROI_013,ROI_014,ROI_015,ROI_016,ROI_017,ROI_018,ROI_019,ROI_020,ROI_021,ROI_022,ROI_023,ROI_024,ROI_025,ROI_026,ROI_027,ROI_028,ROI_029,ROI_030,ROI_031,ROI_032,ROI_033,ROI_034,ROI_035,ROI_036,ROI_037,ROI_038,ROI_039,ROI_040,ROI_041,ROI_042,ROI_043,ROI_044,ROI_045,ROI_046,ROI_047,ROI_048,ROI_049,ROI_050,ROI_051,ROI_052,ROI_053,ROI_054,ROI_055,ROI_056,ROI_057,ROI_058,ROI_059,ROI_060,ROI_061,ROI_062,ROI_063,ROI_064,ROI_065,ROI_066,ROI_067
ROI_001,7.254328619247669,0.9001403669611504,0.9450158080434699,0.7095802225590081,0.10323156488478805,1.1423339266836412,1.4081327866709676,0.5922575969451398,0.35078384699966364,0.32866536144989306,0.7146005769445902,0.6530349181402978,0.966546480572138,-0.07485825919607504,0.5136388621956853,0.33304971381033466,0.09512423922287684,0.5039068961393194,0.7708315509388893,0.9897720457117504,1.0820179341536782,0.6427366161842462,1.4603050605408885,1.0886565644480535,0.47741460844059946,0.5618453554812609,0.36043092511959807,0.25699568554945607,0.6886872226389242,0.7632790905174239,0.2410483432192485,0.023303212059304076,0.5433023785274462,0.2641878377206563,0.4094768268167172,-0.10581138231347073,0.6761581602174218,1.0650566124180134,0.9960573390894765,0.9132009543677416,1.1628914035191698,0.7659961620585984,0.5993200442129004,0.041184196593724194,0.8763236466397418,0.4143150233670653,0.6838403200346184,0.004742860920994837,0.36229981381707826,0.3657712652033319,0.19612043757027464,0.19169088506408496,0.33084879831261077,0.367214359708845,0.6739417914172134,0.33495253602991215,0.5657953687010578,0.37950636404856286,-0.14192889416530793,0.925846155919477,0.8436712870434824,0.137274784526228,0.4713050632471735,-0.20646231357049538,-0.024176830708337232,0.057976236667529255,0.02209317298553953
ROI_002,0.9001403669611502,7.254328619247669,0.8661461841326935,1.092559814507409,0.5498790701208345,0.9820025603388289,0.861119118372432,0.40569038695783494,0.4073945816909945,0.47988270920106146,0.5947593620424971,0.7346319795565216,0.9063544219478377,0.4666926322348875,0.7337279619050863,0.6209703659678815,0.4305870400217973,0.8330776427237276,0.8169473717076109,1.0100076184474385,0.8327044752669306,0.6440913908508589,0.9517297221716182,1.0747845176313464,0.3868295905260949,0.4810065947309031,0.6911584211485098,0.3967546135452466,0.6552925048772454,0.7264374269415164,0.6804620915192459,0.23411039223445926,0.7364428791477584,0.6015788798668075,0.8217064494381041,0.11125101994970411,0.9576522785947049,1.110758236545776,0.7235203714583008,0.6919283684000084,0.7838375214764756,0.6347882106759177,0.6255738401743584,0.5622796876267501,0.8131613943331992,0.622619140993518,0.9136552129371929,0.5595632271945671,0.5024914738048748,0.7968203614280526,0.7640259491484468,0.759158488331866,0.5701445221257438,0.9063229201348084,0.8598143757985016,0.5029575742765784,0.5645948771489946,0.49383628126580925,-0.0144828513196283,0.7135115340946996,0.7897581389405106,0.11235351904202624,0.989907836765459,0.3497508952448911,-0.062983251091962,0.3460759688631482,-0.15048348975805467
ROI_003,0.9450158080434699,0.8661461841326935,7.254328619247669,0.5527682624722249,0.03987417905603194,1.0757262226428508,0.9926798930526293,0.5024132562446242,0.3611667631979052,0.37513060088419603,0.8719377922773187,0.5889852934278098,0.6701199068121165,-0.07442175715293324,0.7426898076722487,0.2875221938231688,0.07119826905800526,0.45031801056905324,0.8283043561471942,0.8229499066495454,0.6533236583254091,0.4654423714201297,1.0156243987665965,0.81901331643781,0.6789259611158113,0.5978651744577975,0.5376398709548331,0.5251048618366055,0.6814284405813715,0.82125167106731,0.3195746056717011,0.40392817819375,0.932047571018868,0.6249781644687423,0.5000990992550515,-0.05525544053091645,0.672061270700248,0.9853881193310985,0.9497642402298709,1.0847328079626684,1.0517345661423165,0.8080565641606264,0.5943553386248799,0.24435378481002223,1.091930208222294,0.6349190029923113,0.8277494184901475,0.14268385159839128,0.6786967472460028,0.7112644577288603,0.4992517543244746,0.2794143829162065,0.6031449257630407,0.5773858152208701,0.6901928840162471,0.23696358169702916,0.5838588936488468,0.26724625449140443,-0.005080833680905775,0.5389844814333856,0.7557598352346382,0.3647627940175443,0.6394146369565177,-0.047132018550662,-0.027138415400516706,0.13433480885711607,-0.03361667237810475
ROI_004,0.7095802225590081,1.092559814507409,0.5527682624722249,7.254328619247669,0.9369895419011038,0.959159742822037,0.889030869387502,0.3952269052681726,0.5743569730916815,0.6310237152932796,0.3416630307208881,0.7570001071749811,0.6426235901636481,0.609481222148144,0.4624308786870381,0.8255926852020024,0.5431330702113613,0.9977487503753469,0.5226723477904835,0.8523243618017841,0.6914566885534676,0.46841442497557545,0.7279962039016113,0.7589552371667599,0.3543335786955765,0.48945586948853853,0.7206944154379236,0.3318820547565342,0.5538604693265583,0.3255996608827255,0.8476092509240943,0.15659850442179146,0.5625328312198654,0.4982154715084379,1.1102839481152096,0.020173889964473248,0.7026306748871783,0.8420364780242061,0.5438776862679365,0.32881937934674743,0.48015605450804216,0.6350716079002384,0.6435239039021322,0.5761458633955712,0.5821590493243437,0.6909119414012805,0.5289012097244518,0.6739101767282857,0.2615790749209285,0.676931559209166,0.6848239030271601,0.8947624703855499,0.22750262427615744,0.7369644265278728,0.6291188108666218,0.4187160974946501,0.4701445677037727,0.46823190823345595,0.1181308254671957,0.6383258927297191,0.4733592160253237,-0.1371023391396625,0.7718997617242108,0.5674239456988376,-0.24544205868319502,0.38732811536397,-0.1182250472052869
ROI_005,0.10323156488478805,0.5498790701208345,0.03987417905603194,0.9369895419011036,7.254328619247669,0.33833303187297076,0.24785134742752069,0.02519656802493357,0.43259877877860836,0.4250770018120024,0.071436068660801,0.4829640425735452,0.31640978404768305,0.9428110435207478,0.24417623580868258,0.7628147674571368,0.7520059135640964,0.7837917968032887,0.1550999383965826,0.43442190812045844,0.34223794446633393,0.24459218234415384,0.20514504385101745,0.24754643528762652,0.08020934505960751,0.21172535076923146,0.47610053242704514,0.28397169273051354,0.2107191285092711,-0.065905092075715,0.9307195006460314,0.09085282616212752,0.28236608872857577,0.4531340215296207,0.8420835462041425,0.1094330254758523,0.32284097001197526,0.4014853078285782,0.0683604447685455,-0.16813260911007763,-0.05065629983586697,0.14842580860260865,0.43724397345278226,0.6102808590697663,0.19901151536252557,0.4835989712635385,0.3627907088810632,1.0030024583667452,0.08770549501145974,0.5404474487193336,0.7762489560645489,1.1006145389044504,0.12409074719475668,0.7086289146527738,0.524873980242036,0.3597493637895916,0.3706055777473445,0.4908255809911062,0.25644185156954846,0.434297453839647,0.14235565185197138,-0.16609002878045362,0.604333506179592,1.4091244233140818,-0.19557218634656084,0.6530695076634822,0.001361340749287908
ROI_006,1.1423339266836412,0.9820025603388289,1.0757262226428508,0.959159742822037,0.33833303187297076,7.254328619247669,1.3286677173207433,0.6349800655301843,0.4819577294017166,0.4758196047341291,0.6112995215801702,0.6586035652901845,0.6234179813117162,0.09796392526267104,0.5033400287345244,0.3689831089787779,0.17116107058208524,0.6748078452781667,0.600057248597469,0.8596350428727494,0.7643775022636432,0.5097662458540116,1.0991067569638555,0.8951270447141968,0.6904040000057269,0.6152547146502196,0.5423929642641876,0.45019415731612933,0.5787299296369095,0.4525624323748238,0.46555410870470115,0.23036332904875215,0.6855586516704382,0.4495033867293725,0.6672017045089839,-0.1484301282320014,0.6011492851709025,0.931823062187071,0.8430439547003807,0.6821551394548201,0.7596895964435842,0.8251615996075516,0.6714357680715226,0.26406653107296074,0.9604265783123551,0.7714083961792333,0.6396471703048768,0.1906317780955878,0.5030989393756244,0.7608147529672625,0.5995632692633782,0.36176366071752225,0.37386207508603375,0.6322710717704404,0.6249371467064332,0.19606168839112298,0.5039840374663835,0.18369849503712044,-0.10975964243072811,0.6491515627305506,0.47827188852403313,0.04697664908964365,0.5596482103286374,0.08526315311162705,-0.3043235617470471,0.04116100908357431,-0.20092809651405388
ROI_007,1.4081327866709683,0.8611191183724322,0.9926798930526296,0.889030869387502,0.24785134742752069,1.3286677173207433,7.254328619247669,0.5780766543962206,0.374855883731411,0.44834231486347653,0.6342881048273229,0.6880477911870697,0.8470643124489204,-0.00923000890522096,0.5602437397505368,0.46410592462551037,0.19958249367876893,0.6283833756315351,0.7401663745970805,1.0375669773931169,1.011288110833908,0.6772499757350681,1.3914220023611708,0.9636153350279474,0.5548004098959826,0.5534502948681138,0.4464347459307826,0.3401706163961231,0.6324671762073131,0.5314360266698634,0.345427923575529,0.1001939172255439,0.6463339435437239,0.4097186404441291,0.5810534842707068,-0.061881166030998636,0.5496694798370887,1.0588517996752151,0.9280049902825431,0.7080390593231707,0.9535137555763913,0.8417600808700929,0.624106318230161,0.2182800937684401,0.95998982731766,0.5551201747520258,0.6350438544209118,0.09934857062792044,0.4547128601000831,0.5384060862451377,0.3584377600073577,0.3357451733235832,0.3818809461241278,0.4731981311682653,0.6409830939654749,0.2731199497209527,0.485457447183232,0.28196618780044236,-0.01319216267761783,0.7858744055810025,0.6807135419335177,0.09648144094118448,0.4987289627164625,-0.01785866012970335,-0.11913676507388253,0.02901180729373902,-0.025141345137976653
ROI_008,0.5922575969451398,0.405690386957835,0.5024132562446241,0.39522690526817267,0.02519656802493357,0.634980065530184,0.5780766543962206,7.254328619247669,0.376414020140335,0.37541874527682745,0.6019262133667945,0.49977288112317547,0.37174759567788235,-0.11542863551437803,0.27283233902441356,0.16098675929769357,0.042923543912574524,0.37718882172231144,0.26522850936273673,0.5792128333246193,0.3971676671666092,0.13895275831030487,0.49433784017884275,0.5015515742890325,0.8325469585977959,0.47770633756448927,0.25237956093346187,0.4056074132570807,0.5486198975065375,0.3543198005290785,0.14343342198854195,0.02488731524706296,0.47797753303793117,0.266169596156264,0.33435882903118064,0.16764336704456245,0.2713921488121505,0.47259423958900165,0.6237295437632446,0.5900948809069068,0.5609774118473675,0.5334802799686847,0.36852159836656107,0.0830493523751976,0.5356108155105701,0.4773365771463656,0.2984683621967895,-0.01755554070656879,0.2620446078637966,0.3024408549778461,0.10539035208394344,0.1255501897211542,0.138441737215094,0.21119051942873684,0.2182004156327191,0.16239772204296127,0.2703355419375097,0.11459698179810549,-0.09369232614814985,0.4023493985535189,0.29822233130453035,0.0019158580016666368,0.2392236591299779,-0.16980165045682816,-0.06769079450129882,0.022446917893405825,0.10674004709355994
ROI_009,0.3507838469996637,0.4073945816909945,0.3611667631979052,0.5743569730916815,0.4325987787786083,0.4819577294017166,0.374855883731411,0.376414020140335,7.254328619247669,1.311598724364285,0.6144199421558685,1.05490128948958,0.4031666852716963,0.48019327820541924,0.10229400811951929,0.2964913990559595,0.36438574248030514,0.7969791302176517,0.16042729925319463,0.47458012156582396,0.45067847919443366,0.16406969757265172,0.37579041138364644,0.5760355369753886,0.876311439491612,1.3991547515366909,1.0744687701767341,0.5650218327822211,0.9800183661510509,0.42184089177513034,0.8652049424626479,0.30549010049372466,0.7586395157296342,0.5000796868999198,0.9155468335742334,0.12047848171003518,0.38272774821727684,0.4981643160208408,0.6611092141126585,0.3986261007694316,0.46677436837642633,0.7191429657508939,1.1305978276854969,0.5739151668024591,0.5697582346927298,1.197377036188243,0.6133785744695455,0.7297362401695329,-0.00027975667492999333,0.2854401914760766,0.40709417595773045,0.6770671623009017,-0.18266572454596422,0.19083074961532268,0.509715963624429,0.39207420776833285,0.5030616024099234,0.5752765048460752,0.06223672678233328,0.6523407900608564,0.1003696725559735,0.13912589842443845,0.23342011865196544,0.2658416119638955,-0.08443435688173159,0.5865847109264264,0.4206823593341546
ROI_010,0.32866536144989306,0.4798827092010615,0.37513060088419603,0.6310237152932796,0.4250770018120025,0.47581960473412915,0.44834231486347664,0.37541874527682745,1.3115987243642855,7.254328619247669,0.6074073127630922,1.1757972718283012,0.5090930534156939,0.549219971340366,0.29707524169092897,0.5554821523027418,0.5931894820893722,0.9974047108156828,0.274171548623421,0.621582374617017,0.529724862460114,0.2341502806925558,0.5004878474457675,0.5826478217897842,0.8531152976080019,1.2024320781272402,1.3825869677849036,0.5696581661951418,1.013136445232354,0.4175045719628692,0.9872204164090149,0.21025408934824097,0.8513221574123263,0.713167574514708,1.120860117048097,0.3245923065391997,0.3758183729729747,0.6166965716073475,0.7193504694766879,0.45457486051192986,0.5388935098113061,0.8681927735681453,0.9691480191484573,0.8861333164238269,0.6983058578144733,1.1249700893326342,0.571746808148839,0.758206950843714,0.13560171448394573,0.38359088816768966,0.43465625975286265,0.8059524776771074,0.03530328981058399,0.2751179264457426,0.4772812895646356,0.4708239144550849,0.4429193304639666,0.4496288590481823,0.17918509103790553,0.6118010161880557,0.203033843784225,0.17045463921023898,0.32563445865675594,0.32025826806591007,-0.010780853416960421,0.5149907742231616,0.38412566100451345
