,ROI_001,ROI_002,ROI_003,ROI_004,ROI_005,ROI_006,ROI_007,ROI_008,ROI_009,ROI_010,ROI_011,ROI_012,ROI_013,ROI_014,ROI_015,ROI_016,ROI_017,ROI_018,ROI_019,ROI_020,ROI_021,ROI_022,ROI_023,ROI_024,ROI_025,ROI_026,ROI_027,ROI_028,ROI_029,ROI_030,ROI_031,ROI_032,ROI_033,ROI_034,ROI_035,ROI_036,ROI_037,ROI_038,ROI_039,ROI_040,ROI_041,ROI_042,ROI_043,ROI_044,ROI_045,ROI_046,ROI_047,ROI_048,ROI_049,ROI_050,ROI_051,ROI_052,ROI_053,ROI_054,ROI_055,ROI_056,ROI_057,ROI_058,ROI_059,ROI_060,ROI_061,ROI_062,ROI_063,ROI_064,ROI_065,ROI_066,ROI_067,ROI_068,ROI_069,ROI_070,ROI_071,ROI_072,ROI_073,ROI_074,ROI_075,ROI_076,ROI_077,ROI_078,ROI_079,ROI_080,ROI_081,ROI_082,ROI_083,ROI_084,ROI_085,ROI_086,ROI_087,ROI_088,ROI_089,ROI_090,ROI_091,ROI_092,ROI_093,ROI_094,ROI_095,ROI_096,ROI_097,ROI_098,ROI_099,ROI_100
ROI_001,7.254328619247669,0.15710756725678543,0.2398543933081932,0.18587325113592157,0.07291773585129453,0.2601069721894269,0.37828421436661985,0.23009357657843568,0.2693255158033943,0.16105261332796109,0.14067211385659437,0.17912031717757027,0.25048293407033445,0.13135296104605998,0.12058508866520715,0.5296657151644643,0.4070587345227879,0.4150976533452187,0.005730633187691936,0.28547102514487654,0.06305498782565215,0.5036550726629055,0.1279010279925814,0.1498486447105118,0.04084204283978147,-0.08409709710171863,-0.053894149013495686,-0.037609563976376936,0.09317549848670771,0.0942845990392426,0.1261033293867946,0.13617327218850206,0.435979005067447,0.5023384228301204,0.25334116016116126,0.39311685939938695,0.10917083687060614,0.0765010644911529,0.07353438153840916,0.17366970941765134,0.2955272121665871,-0.08157881771182601,-0.006948910541295566,-0.07832130225430352,0.17151394631129244,-0.19165165413210186,0.1163089583085639,0.3113924098234619,0.3689486730893077,0.11370667680060113,0.3722173752225472,0.10718619890748726,0.25752833821296306,0.17267829705535154,0.15461259873524197,0.32634202937202644,0.16455536798484002,0.2601816978100416,0.0393445535059749,-0.02182581182688434,0.04447712176229063,0.024166620621881827,0.10151716741391166,0.08172453465843663,0.16214088532773807,0.04116654880828642,0.3577308177800113,0.06172576879010594,0.08430237645631096,0.19187710580624884,0.044161303138660304,-0.13695784959709664,-0.05792009819492957,0.022658937943410916,-0.078096321488406,-0.11309470383232836,0.31754338227072687,-0.1885468998910048,0.13651154666639034,0.011767389574335702,0.1016810259548584,0.339185452293477,0.025828066954311342,0.08976730785169777,-0.12149073918676923,0.06779499953387236,0.20617495739160138,-0.12986267628011794,0.3529534237332412,-0.03996676364621933,0.015950445136193613,-0.12569074548265585,-0.21632525284889212,0.0019280159767731152,-0.07767780423462352,-0.02884479087082139,-0.12236616085870931,0.13364317458918465,0.281453525998545,0.0004455113734044417
ROI_002,0.1571075672567854,7.254328619247669,0.7969293749208517,0.8843595186319976,0.5150571454761628,0.4260450516901613,0.32338389998590994,0.8057154383566213,0.6734980145526646,0.614479135030333,0.6304681010278159,0.7187195221616219,0.5369841690256245,0.2588248129808309,0.28812049946020174,0.83066992979587,0.37470208764890545,0.6519786261103939,0.36023421709175046,0.822917275689991,0.4867698456066854,0.24593508662405128,0.3037942607725388,0.15095726970755652,0.22183226351151003,-0.01750944645485724,0.2912901338173015,0.464487746889496,0.6578135960039573,0.43585457352722207,-0.038566710963546635,0.12727024864649178,-0.03911586466778505,0.6102019965675403,-0.027438020217867586,0.6650747209910688,0.5146138947549302,0.08772417727561792,-0.13768998808572602,0.03340192906727995,0.296128601543447,-0.10688335006264287,-0.30365815836657106,0.2069945188304357,-0.03108387590712971,-0.06376810623991687,0.0575641003515944,0.09945703130148013,0.2040617141768094,0.39214449821688846,0.36884187592589834,1.4153122675661907,1.0561501066290366,0.8624150411802182,0.4783601585758232,0.4726220361128152,1.065874851243095,0.8524177187989372,0.7210070549113339,0.9208397406261146,0.9103346491033912,0.57854062086072,0.672872924727487,0.3795293510340569,0.780336431408788,0.2070698470863677,0.5091862197318008,0.38703467844745415,0.7457397239189422,0.8721649811863057,0.7869491771253019,0.16083542553231786,0.45448304461286926,0.39696756877057,0.6706193456490535,0.4333980834733209,0.774614695168085,0.4972804898560497,0.06057650985306954,0.06631596933873263,0.34378912601669287,0.5436992319084816,0.07690170060845278,0.07652253725985107,0.3393680763205397,0.22722786649282892,0.544628647611113,0.2749604730771993,0.6917648150990431,0.34725603574437214,0.14089008393199426,0.3786783341151308,0.13009600140658084,0.15959841131047414,0.06569208653845413,0.14677799710062256,0.03901680051939543,0.6082986799912194,0.23710320764006826,0.3870570801962928
ROI_003,0.23985439330819316,0.7969293749208515,7.254328619247669,0.6325078121760813,0.5593288559079931,0.6661615828459018,0.6073293568208301,0.7742394153596236,0.8264938247754906,0.4053212056101506,0.6668974775460583,0.5553785948879816,0.817400511066066,0.520635499796974,0.4568216312386147,0.6918206052975617,0.42298394791312255,0.7401768796449951,0.51897773025671,0.9929194523839602,0.7486180130650448,0.3100330252042241,0.4583253992219042,0.023126032212643595,0.0281379419990534,-0.20791371755482163,0.08247371021033655,0.041426619876345064,0.24234666563120677,0.152042012197834,-0.2371494547427252,-0.042836364188577176,0.09775306210292714,0.5978727503102016,0.010508739560975417,0.7648672504094466,0.2888296797855296,-0.08340287389427777,-0.16746303261637563,0.11967181179944077,0.4376037104300058,-0.37101679299147833,-0.3724183180622044,0.028017518812838895,0.02563231615594433,-0.2779093722818071,0.17426985283004254,0.37471711758099296,0.5152880542878844,0.5904404655114635,0.2882041634933768,0.8146040421833498,0.49375686604747426,0.710119217420519,0.6317399631932363,0.6979915362493482,0.7577767445905125,0.9556459880410972,0.39168590058689323,0.6694932677160267,0.46587251478978997,0.6713926493434985,0.6973976126707486,0.560163989026251,0.820782882360794,0.38501473874668946,0.7349380584419081,0.5030534902025912,0.49174991406085183,0.7334872569896009,0.6959002638428912,-0.039189830521180295,0.20627551297838365,0.217886089145994,0.23145844831377468,0.04021762329586559,0.842850246277098,0.12014902168062529,0.05317370197130241,0.011166824547102433,0.15930475770050456,0.556159787757616,0.04914891655340585,0.019162180511975675,0.03329767042080057,0.11585200459595223,0.5034008815921516,-0.16743140715941912,0.7973679818991037,0.21613075847464588,0.04395940205431039,0.08719076250514309,-0.2486065136626836,-0.08450936333067696,-0.2533844728765363,-0.10569910466570237,-0.13505665348226123,0.5271920733043183,0.6192379949018295,0.3884418636471579
ROI_004,0.1858732511359216,0.8843595186319972,0.6325078121760813,7.254328619247669,1.388384657975067,1.0807753526246993,0.8188267997617741,1.443644377763008,1.3371757484763167,0.005597830106392913,0.6548813494437831,0.2306425576112023,0.8514617134934835,0.7729529536579499,0.8480595744826742,0.42579457635909457,0.3796398350813347,0.7443169079957028,0.6883118986975229,0.9526644162959803,0.7390525383859898,0.31907969982704415,0.29027578512803875,-0.216875581543755,-0.27847560070286154,-0.3897546816146624,-0.08061952715498913,0.010556473816656834,0.4004749027808694,0.32612607997488297,-0.5176493144577998,-0.27894967221011274,-0.2292800734284982,0.41029928649652136,-0.21657890616479075,0.6615057295204934,0.09895677765469962,0.03458039626794454,0.02207856331671985,0.12984860829372624,0.16628030144293213,-0.3244917789330327,-0.4442516548853485,-0.005872081891474649,-0.29987060403964466,-0.039182688531602484,0.13074252774238385,0.36497272461091895,0.7966223992414091,0.6896543105290109,0.2732105882548651,0.8725491040518116,0.518844307840749,1.772827900314128,1.2270662830236283,0.9360466157291187,1.309242197650413,1.405852224340554,0.17214550154501138,0.8083531899568996,0.28503370188031857,0.9927390161935334,0.8915780127268491,0.9723889672626055,0.9730149085566552,0.80180980099227,0.5359589010985402,0.7569074607389491,0.27228971824610054,0.5004370215893857,1.0214663965833848,0.050478162688433026,0.2729454257620657,0.2001828652964702,0.14899110154046055,-0.011383210695256251,0.6121678448383095,0.043100688363900394,-0.1653178277042664,-0.14361654523818176,-0.14971313281683366,0.12462546696187564,-0.3446153117315203,-0.30272522626903575,-0.12692139903370597,-0.09115273998223938,0.20314935416893826,-0.18463809319593996,0.36204630107600977,0.0014135945108605273,0.004985478477489594,0.13928301428302323,-0.23250284404772148,-0.2631177993663331,-0.256109068940744,-0.28082239227061767,-0.08746392888367684,0.33430257355338994,0.7347146828581742,0.5386095615232547
ROI_005,0.07291773585129453,0.5150571454761629,0.5593288559079931,1.388384657975067,7.254328619247669,1.1720466604660127,0.9380081420086264,1.246203092855878,1.180125942476376,-0.25932135242127835,0.49166336666365,-0.04164497742348806,0.8394997919866558,1.060861188746894,1.230651804731673,0.09779758586464662,0.1945105724132632,0.6309639870342816,0.7299635158856441,0.8501876465041223,0.8823246008031083,0.1693486641547279,0.2905661171366079,-0.3905245052354589,-0.549181231237603,-0.5848562305655354,-0.12257498046582778,-0.24090419993986967,0.15355618659266937,0.16876761634677526,-0.6572369695172472,-0.4383845165262788,-0.31217597768338523,0.1862257556532293,-0.28732246125122507,0.5188838836627321,-0.051059899183961685,0.012929701845784763,0.0628177951569154,0.19902305944803164,0.15174848433230365,-0.3943430820669306,-0.4479337956841751,0.0042562099687159256,-0.25971544093529,0.08634290409803264,0.21216749702281967,0.5728024148410545,0.9834370025070296,0.8685075141236023,0.15828617034071268,0.5294698502112106,0.15222100875505834,1.3192900141854567,1.6392440545258584,0.9381670896585952,0.903093434928825,1.108421906834725,-0.1066549929314341,0.559838793690615,-0.0038064345006669775,0.9899133015343291,0.8198110882023008,1.1820902588428417,0.922519813018215,1.1741568475179298,0.43979236466895366,0.8933883942371091,0.06007523785391715,0.3071709029466626,0.8927286700632314,-0.01478552870305442,0.177557715445236,0.11938579528828301,-0.13596468319296495,-0.2696975857486418,0.4299528410094832,-0.19910847846458854,-0.13968439488406412,-0.24938077093881844,-0.3444722118124394,-0.08352591165947941,-0.3827927441359291,-0.45580936189574345,-0.2982543473858201,-0.19926594788430704,0.0230636063312298,-0.3915750523402464,0.19223262776706623,-0.08095764744998661,-0.03910599174255073,-0.011331508751012985,-0.37814245227025556,-0.43188296642988805,-0.4268985437173835,-0.3946595365246461,-0.0331196189397395,0.2724852584247538,0.8464925502937425,0.6390286713265294
ROI_006,0.2601069721894269,0.4260450516901613,0.6661615828459018,1.080775352624699,1.1720466604660127,7.254328619247669,1.2087207396548603,1.1439788937978632,1.4314160500222701,-0.17325211651810898,0.5955113579363347,0.07835594843144521,0.9508926073443714,0.9799902039028037,1.0843036036379519,0.28999763211119994,0.4316100715460707,0.6892167682938881,0.6364379477642311,0.9404209194915255,0.8564549039949882,0.3123826336135278,0.25426170725506386,-0.3297390680078195,-0.48020404307043063,-0.5426774195666046,-0.23075380175029064,-0.31368598846624535,0.1094469096911483,0.1505678315056626,-0.7795262417430252,-0.5543488034280847,-0.2953911103510406,0.3077251563823197,-0.2646156629499902,0.5171980274361772,-0.12113892303417591,-0.15465797139596785,0.04347672324111098,0.1743799830842382,0.1587354873974399,-0.4534793396479471,-0.5603199024080976,-0.224531090420142,-0.3641528480105368,-0.18104926218763007,0.07937027671479172,0.5910682941540081,1.0973395206388747,0.6688764413802467,0.21585559706475396,0.56661543959456,0.16527386098283586,1.1332173804653594,1.4146178037297232,1.397355856878848,0.9085622903193428,1.336527248725642,-0.05318873773184824,0.5429220930504195,0.021456952847716655,1.0264359718715559,0.8529347558972683,1.2381279134991978,0.9464800476421672,1.0677540327035127,0.6440982914156925,0.8749667996347259,0.03586881318976304,0.3053318261011537,0.8393420808797515,-0.05837504063806924,0.072849269043045,0.050559286651772534,-0.1503971023099928,-0.3149996290863058,0.5623618831624015,-0.21287466434233568,-0.25472350916052716,-0.24147562017894908,-0.3595824831239662,0.06038439838866881,-0.48982482063909816,-0.42858927922127443,-0.3810822342609984,-0.25087812503737206,0.11456281812112769,-0.4937357950025793,0.3652088179469771,-0.14949195001745538,-0.12613723947329683,-0.0376957869406905,-0.5081982240450026,-0.5923966496395086,-0.5088949250605836,-0.5712472993486858,-0.23356844518866027,0.30981096524688273,1.2831109282965212,0.3726134718486145
ROI_007,0.3782842143666198,0.32338389998590983,0.6073293568208303,0.8188267997617742,0.9380081420086264,1.2087207396548603,7.254328619247669,1.038141693192906,1.1364409072284714,-0.11594017744227074,0.6683216643714659,0.13335756663613263,1.1086887001547099,1.1020757497536904,0.9642622030123099,0.337083946997159,0.4875373296832257,0.8492356545605605,0.8526230003433549,0.9372081568676341,0.7733371672300007,0.5349034200194531,0.4811543860336876,-0.1690699588114673,-0.3759897757914129,-0.3670717780890118,-0.19704847052220878,-0.3867915460262703,-0.04727866222434216,0.21675178317366448,-0.48446820272483515,-0.3801613793396997,-0.11913097571307299,0.403501764123278,-0.0722316025758904,0.5973938987808695,-0.14125882869654977,-0.021734114734496907,0.2735676643409325,0.48509807144546174,0.3659088748317789,-0.2572168128515161,-0.23841421536104385,-0.1437540798068475,-0.13883632187428313,-0.14559091829583992,0.2630138893123794,0.7218742646431774,1.3015820273553016,0.8198294965389091,0.04659852152064961,0.3782529648734399,0.036906935871110845,0.7946707448019079,1.0111159301562085,0.9999041013239863,0.6354728522418441,0.949587622329678,-0.26042432741274185,0.28822947298863416,-0.15918495380836745,0.5660280257939603,0.5138784366795756,0.8078197672471766,0.7409783763920643,0.940992597624889,0.4596931138699989,0.610918970197408,-0.11898119015335064,0.20169922602502674,0.593885634805403,-0.3515381086178482,-0.09423051549556412,-0.05243253984990592,-0.321449979659948,-0.5546097135114115,0.5127214149897932,-0.31395100787722324,-0.20213485916014037,-0.4711184168733272,-0.4547453693477109,-0.015957895734589462,-0.560478819219476,-0.48317347240759495,-0.6082074626068404,-0.3883773635767983,0.06777604215345404,-0.5282773407507164,0.3519071771980752,-0.2885343896585571,-0.3122947299224081,-0.21988864195080082,-0.5906797575622663,-0.5159496596174873,-0.5886433888059094,-0.5155998083179505,-0.22600267942655397,0.0551609128360634,1.0602549719511292,0.46775753678364407
ROI_008,0.2300935765784357,0.8057154383566213,0.7742394153596236,1.443644377763008,1.246203092855878,1.1439788937978637,1.038141693192906,7.254328619247669,1.4537906187748624,0.15501613897616512,0.846060763265001,0.3987143914156946,1.2294016149006457,0.968354410590938,0.9388169361624629,0.4991610341519717,0.5281929522177957,0.9953285638089697,0.7750691981370943,0.9730334932203915,0.9901233310282561,0.45948373198194087,0.3412005757693003,-0.1320093269309803,-0.22807005308860406,-0.27280192995332114,-0.006851017066885888,-0.046367166976241055,0.33038075824851315,0.3432179577878479,-0.496130375835775,-0.35897170881022283,-0.11765598198707056,0.4436744087972874,-0.0990855359584403,0.6436132383783049,-0.008172658026054309,-0.1064823873515527,0.0967677577650547,0.16640226161174473,0.14441251304447286,-0.3572535561906019,-0.4072610690353464,-0.004491740586982244,-0.1554909459333027,-0.12584011331679662,0.1231739183461484,0.5063165922813936,0.8425085273535906,0.5749600683617093,0.09366343204789422,0.7472564339875565,0.3486471958052603,1.259864939983668,1.1360630972626404,0.9993709225196554,1.2773187119051217,1.4117011260703436,0.09434933595305006,0.638758950330091,0.24700260246650305,0.8749028597844096,0.8279970785807189,0.8655053598379701,1.036023484156329,0.8972809721072271,0.46945377115651166,0.7009516611029016,0.14868112185353455,0.39120489104650785,1.0307985324730882,-0.12300518706213673,0.0982329470505137,0.0541944895294041,0.0884215947477871,-0.18712805085218623,0.5924747240630643,-0.045362146876151324,-0.2182664173999507,-0.40304212612459495,-0.25377455332836935,0.05322305300935831,-0.4289309172691375,-0.34460683460849406,-0.2574748954260903,-0.26970841297748405,0.14704116423497401,-0.28408544208809666,0.4149408669101701,-0.2190030486343285,-0.23444675476660223,-0.08595092940758697,-0.41483502214413864,-0.42351622038472225,-0.4625296480423791,-0.32903056415827,-0.25736170177475376,0.27635852292319474,0.759376288241387,0.41523058827100856
ROI_009,0.2693255158033943,0.6734980145526647,0.8264938247754906,1.3371757484763174,1.1801259424763757,1.4314160500222695,1.1364409072284714,1.453790618774863,7.254328619247669,0.01577722239622005,0.7910127803144695,0.27188704140346265,1.1628117139566518,0.9327292295382913,1.0060734474578739,0.4047672145683987,0.4274112943403147,0.7711068189610545,0.7740256052956246,1.032460050643866,0.9818656108826895,0.3408425652870486,0.3544138170759482,-0.2505833317942179,-0.40854774794895354,-0.45214562068859676,-0.07141908381066758,-0.1731166225623278,0.21347329235100584,0.29226221632577404,-0.6694383315040211,-0.4145387123834975,-0.1889000874325352,0.4008562405418768,-0.2702030630972995,0.667757931003441,-0.04580030459470977,-0.10894855270895586,0.02458063921883154,0.22155471737648852,0.22564230380609201,-0.42609256173517207,-0.5450122891667568,-0.09129288498080848,-0.2416092076668779,-0.12086101744921394,0.1670839869175004,0.6093162770227168,1.0014472681233069,0.7131035062775474,0.17582601479104307,0.776127019419131,0.333974921209548,1.3256944756898152,1.301466954965645,1.3535583060080274,1.165549794596074,1.6216554254832924,0.09125137275470242,0.6843756580605216,0.18088245096818498,1.0629929757426708,0.9025772286287763,1.0514581463024273,1.1306978350677945,0.9178961461457901,0.580925896603252,0.8604105219897115,0.1967299288397364,0.41766623654020446,1.0048655541627163,-0.12294798097104227,0.16341508055478626,0.03750059815734491,0.004317059130973175,-0.19748545353147118,0.6128113750591706,-0.09470905176516131,-0.21523544212659687,-0.24048741044884092,-0.2761419925486799,0.11820706364705245,-0.36436263872270214,-0.43993354067352974,-0.22478293661107696,-0.18459193104561478,0.15115579039886193,-0.34607461047801896,0.46180946072614365,-0.08458506318436582,-0.12098038784192737,-0.039946500994055556,-0.44234674299649984,-0.42868992535835787,-0.4609012735761611,-0.4132234276463342,-0.19199639692358436,0.40669851978306687,0.9977010895392144,0.5044513555060411
ROI_010,0.16105261332796109,0.614479135030333,0.4053212056101506,0.005597830106392914,-0.25932135242127835,-0.17325211651810898,-0.11594017744227074,0.15501613897616512,0.015777222396220047,7.254328619247669,0.43045820634053805,1.303720487218907,0.171748827311426,-0.1324369818985032,-0.22184298722736603,0.8927987824193155,0.5342588249342458,0.4046807707628333,0.055257299929598505,0.238569055059672,0.134862305822709,0.3726752229393962,0.2559562880525061,0.7981928978618414,0.8842913355544845,0.628979349605559,0.4621073543498277,0.6860230045222955,0.5099352038254027,0.4002252310507678,0.48120619026417116,0.4686730178012551,0.4580579341144539,0.6095086898408909,0.4990843314402027,0.3184021246976159,0.4914071948609515,0.029132490342832617,-0.05557766968814153,-0.014478895487383847,0.16446007732496032,0.13255773812009605,0.09337396751233203,0.16530176328427582,0.35510221544997506,-0.29644290102978993,-0.08333208367923099,-0.12496075921272104,-0.3307588801309431,-0.193369212723416,0.0786333518954612,0.44351202043969296,0.5886917322628952,-0.042041956958493956,-0.2682539515572629,-0.04713517321284202,0.22060430487228272,0.08844775335420602,0.720343297860241,0.26176407009538494,0.8156656522444672,-0.10884865543426415,0.12028606297643037,-0.2624220773678961,0.1884336651747341,-0.3001053024045628,0.17818916257682035,-0.18142647720881672,0.5643584017083724,0.482859098192252,0.15784459346059518,0.07122197852168599,0.1947835423621247,0.2689297619011605,0.8545208431724612,0.5423255207415039,0.4311466558032331,0.6075641985214023,0.11091549725905177,0.02237477451396285,0.617491603791938,0.5792184317007647,0.32591086122071083,0.5430945635618184,0.4788054185360741,0.2772276868045328,0.5704226647274354,0.5009524927217248,0.6737111656838455,0.24225735931179315,-0.0570642207808557,0.1126811401442086,0.25864630908788794,0.367598579210842,0.23391121297441606,0.4453873359539601,-0.05966593579667096,0.3368816369144123,-0.2476039040421175,-0.1115894218983308
