edge_index,mean_fc_z_across_windows,std_fc_z_across_windows
0,0.3194332205235168,0.3277238773095259
1,0.3704485891757954,0.27694557308946177
2,0.35413652876324514,0.30121596305996623
3,0.41659453481220254,0.2937686796002076
4,0.4634607886405311,0.30026730117144285
5,0.6220121897492453,0.21457413747301432
6,0.28172317040868633,0.2986100986127808
7,0.33826670242162304,0.3262875367943787
8,0.3312542641273128,0.37139331770903095
9,0.36050560366647305,0.31771600009962314
10,0.22906470728814934,0.35908444522980576
11,0.31489414870416216,0.33554438310180884
12,0.3630889863787241,0.34389271464770765
13,0.30488465877410337,0.3492716486503886
14,0.4553199531113415,0.29405207552346463
15,0.2332196214271283,0.29379991087761254
16,0.3132615947670417,0.27337634696524205
17,0.3116634661762717,0.3247113848798913
18,0.4412930634400217,0.3485771917548173
19,0.2099199411356414,0.3353923863964589
20,0.26523156872126435,0.2500904862437164
21,0.38312956187097924,0.2643210117761132
22,0.19253164180318663,0.35440610533560774
23,0.38309934860337613,0.3010955289249324
24,0.07101321046124828,0.2566215051787452
25,0.2629664783523783,0.32054763910247613
26,0.3164193629120019,0.2836831903636035
27,0.23279527038500522,0.31894121554548516
28,0.25865909481684385,0.30709370204940845
29,0.47981010357447534,0.199543491196299
30,0.6493511676106957,0.18378547258093755
31,0.5639857749409815,0.27166026029211293
32,0.27993163209750427,0.24106654998058316
33,0.3329231687199027,0.273035407731034
34,0.37241704228576294,0.16393876939647814
35,0.4764445343643798,0.23371518258517857
36,0.5052395042333,0.21699336852293236
37,0.3048114195226516,0.2752003322491951
38,0.34233238051494586,0.23944639255218045
39,0.42923895663164074,0.19727206710563433
40,0.30430440077227416,0.23601831969275242
41,0.25995301657823233,0.22200505151052272
42,0.6407285289750697,0.26544860364058054
43,0.6107094033057838,0.2639234032870305
44,0.40826049843342715,0.23775904379955193
45,0.302658547120455,0.19946818476530112
46,0.5303139659372889,0.1929107179616073
47,0.620121884666673,0.21106757940603965
48,0.4937529196860047,0.17599246264943025
49,0.5664537805012734,0.1755692062334935
50,0.3358257116574074,0.3237644565888906
51,0.3100262374355257,0.32057536121855434
52,0.3426035337525396,0.3137242563287265
53,0.4239258104662861,0.32631142378460276
54,0.3702688931067742,0.3405736325256824
55,0.22701031396931698,0.304613467665009
56,0.3277222714377835,0.321754559549729
57,0.2115851066614548,0.35666006304645204
58,0.23136801462063308,0.3684360635286337
59,0.16930137802971462,0.34137452622796377
60,0.18802843809964342,0.3763211336229856
61,0.2316947278329437,0.381504406822192
62,0.29438575638317166,0.35714030204457736
63,0.3159172251947436,0.3371118309858244
64,0.25394812347973617,0.3661295931387082
65,0.46454423567840797,0.2376639182438062
66,0.20784474150270746,0.3507647632077939
67,0.12392345887340306,0.3076924878375209
68,0.2142039860240944,0.28504189825390486
69,0.2024864936311172,0.33658135285877144
70,0.0003702164292710993,0.2799635673618704
71,0.2319577960254551,0.34252565363768983
72,0.2400945030219908,0.25648421892793394
73,0.024459265240618016,0.34257879816759307
74,0.12510016576798405,0.3212214794675294
75,0.3990802576930466,0.34841674266573275
76,0.12610873762356983,0.34472815622643255
77,0.3942184713778431,0.18206605310609428
78,0.4519081598153416,0.1742865057615491
79,0.10856733758557721,0.24196982520745622
80,0.1865136315400309,0.15403750326676965
81,0.27794788842617196,0.271824561089244
82,0.060343352349884714,0.2538908052050779
83,0.06581674164917194,0.30009785292230484
84,0.14421943639777748,0.20021621274818305
85,0.4775307087749981,0.20093830885894515
86,0.25542177282457046,0.28716605317407645
87,0.3193905708535671,0.20488059432473485
88,0.19312130195312244,0.14735919343281423
89,0.3211816243265203,0.18999650808579535
90,0.38543175404062385,0.2534310570249545
91,0.19167599806452854,0.30705245645442114
92,0.3913229889996845,0.24653703936495808
93,0.14817622309551787,0.2903610871487112
94,0.4951689283016564,0.22653619251340118
95,0.3821255965024462,0.21370746665931986
96,0.37807640205236576,0.2468541217596385
97,0.5485414915092134,0.23278049378415464
98,0.4219579692378362,0.17596107786048978
99,1.2112729558574216,0.4006427689694534
100,1.6394638094489071,0.3608550422541035
101,1.173221659409007,0.37237718568301165
102,0.8922016788760977,0.41530182568256513
103,0.5746825446265549,0.4394758447179654
104,1.3847920480976816,0.32325100072462626
105,1.1569941153501195,0.3812112612368921
106,1.216809478391668,0.5945951787365251
107,1.0118645995039617,0.43739694481058117
108,1.1885048984997,0.4626678284236934
109,1.1716304807172655,0.3628602128533276
110,0.9501387608257837,0.33269579610881905
111,1.0295347419162413,0.3590038233690504
112,1.4548776902910596,0.5472165536166451
113,0.9315346606732448,0.4606756985953061
114,1.2132948553156657,0.3719429191560547
115,0.9692230111798411,0.4064568973417327
116,1.1702881218509134,0.614533920476023
117,1.0691943346017423,0.3639084693716584
118,0.736662298865932,0.37425225317124067
119,0.8328087917276543,0.33048370013876
120,0.7562500053417878,0.4904315419345805
121,0.822283837507886,0.35554615176010396
122,0.5570268280799042,0.339257716291634
123,0.703302571510616,0.3595429300205193
124,0.769745419165678,0.3785910453191334
125,0.9876354651851145,0.3969053970105136
126,1.0123856129720676,0.4190998516062611
127,0.47128997265424816,0.48780975192212633
128,0.39385300909364745,0.46875214633536827
129,0.33623644685764437,0.3857639688650981
130,0.8918590036733421,0.47197638046611984
131,0.40844646666671525,0.38993982123657916
132,0.20073616205472963,0.3599862975763752
133,0.4930269157668482,0.3074815109422304
134,0.3890588713125892,0.38582788098333265
135,0.5158132912960656,0.35458781589566224
136,0.27358736691791363,0.38027361372024254
137,0.2941095208045121,0.34055095684942993
138,0.4371201967191066,0.3517208498035048
139,0.1942250008459803,0.4453728678193969
140,0.4654956168789691,0.41334265889875305
141,0.2924732989819826,0.494356921391831
142,0.22956184935888213,0.43385397684188015
143,0.059485169975149986,0.29885265192637583
144,0.1354054049164465,0.33651524308996683
145,0.3152726840479394,0.33844293861584546
146,0.1457456797525919,0.32564437545611596
147,0.4281058905843038,0.3230910744954434
148,1.4939526683984554,0.37719944283997436
149,1.5291274213377202,0.4221706739479678
150,1.492307924705367,0.41056320762917575
